Abdullah Gul	Abdullah Gül
Cant forget your love PERFECT CRIME Single Edit	Cant Forget Your Love Perfect Crime
Pope Zephline	Pope Zephyrinus
Henry III	Henry III of England
An Xiyan	Hani
Silver Mt Zion	Thee Silver Mt Zion Memorial Orchestra
Foxborough	Foxborough Massachusetts
Omachi	Ōmachi Nagano
Augustus	Augustus
Warner Music Group	Warner Music Group
Odds	Doctor Who
Tutsi	Tutsi
Bolivia National Football Team	Bolivia national football team
Slovenian Football League	Slovenian PrvaLiga
fuzzy	Blur
Myanmar	Burmese alphabet
Frederick William De Clark	F W de Klerk
Boom Dance	Dance de Bakōn
Moses Katsav	Moshe Katsav
Henry II	Henry II of England
Reubisa Tubakovic	Ljubiša Tumbaković
University of Jena	University of Jena
Rebecca Mader	Rebecca Mader
London	London
Universidad Autónoma de Nuevo Leon Tigers Football Club	Tigres UANL
Lucky Star	Kamelot
Leo IV	Pope Leo IV
Jesse Dylan	Jesse Dylan
Kelly Hilson	Keri Hilson
Irish War of Independence	Irish War of Independence
Forensic Pioneer II	Forensic Heroes II
Malouf Bahit	Marouf alBakhit
Konstantin Sharienlov	Konstantin Zyryanov
New Brunswick	New Brunswick
President of Mexico	President of Mexico
Kamikawa Yoko	Yōko Kamikawa
Royal Wista Road Football Club	KVC Westerlo
Zhang Yuning	Zhang Yuning
Comedy Central	Comedy Central
Xidan text	Siddhaṃ script
HerzegovinaNeretva Region	HerzegovinaNeretva Canton
Zhu Qianxue	Tracy Chu
San Marino National Football Team	San Marino national football team
Saint Bernard	Bernard of Clairvaux
Renaissance	Ennahda Movement
Gary McAristotle	Gary McAllister
Deng Ziqi	GEM
Taipei City Government	Taipei City Government
Wang Changqing	Wang Changqing
Prince of Xinzi Nei	Princess Yoshiko
Thein Sein	Thein Sein
Carl Linnaeus	Carl Linnaeus
Christine Gregoire	Christine Gregoire
new metal	Nu metal
The confession of love	Oops I Did It Again
Stuy Griffin	Stewie Griffin
Tanaka Touri King	Marcus Tulio Tanaka
Martin Heidegger	Martin Heidegger
What turns you on3F	What Turns You On3F
MUSIC Perfect Jiayin	Music
Ouyang Zhenhua	Bobby Auyeung
PlayStation Vita	PlayStation Vita
Youlan	Youlan
Samuel D Ingham	Samuel D Ingham
Krasnodar Kuban Football Club	FC Kuban Krasnodar
Soren Ober Kierkegaard	Søren Kierkegaard
Queen Maria Fyodorovna	Maria Feodorovna
Allied Military Occupation of Japan	Occupation of Japan
The Siren	The Siren
Kashubian	Kashubian language
Nanzi	Chữ nôm
HTC One S	HTC One S
South African Business Airlines	Comair
memphis	Memphis Tennessee
Saint Barthelemy	Saint Barthélemy
Tim Duncan	Tim Duncan
Mizuhocho	Mizuho Tokyo
Commercial	Comoros
Taoyuan City	Taoyuan Taiwan
Quanxingxing	Jun Hyoseong
QBASIC	QBasic
Grand Duchess Maria Theresa	Maria Teresa Grand Duchess of Luxembourg
Tudor	House of Tudor
Beth Truman	Bess Truman
Jan Vertonghen	Jan Vertonghen
Theodoros Pangalos	Theodoros Pangalos
True love is like blood	True Blood
Zhou Xuan	Zhou Xuan
dorset	Set
IPad	IPad
Hirofumi Nakasone	Hirofumi Nakasone
Haarlem Tennyson 2nd Baron Tennyson	Hallam Tennyson 2nd Baron Tennyson
China Television Corporation	China Television
DebreziniVSC	Debreceni VSC
Exodus 04	Exodus 04
United Workers Party of Poland	Polish United Workers Party
John Paul Stevens	John Paul Stevens
beachboys	The Beach Boys
Asamoah Gian	Asamoah Gyan
UK House of Commons	House of Commons of the United Kingdom
Kingdom of Albania	Albanian Kingdom
Heyuan City	Heyuan
Indian Space Research Organization	Indian Space Research Organisation
LEGEND	Legend
Oklahoma City Thunder	Oklahoma City Thunder
Choctaw	Choctaw language
Fang Yinglin	Michael Fallon
Lucrezia Borgia	Lucrezia Borgia
Steve Clifford	Steve Clifford
Sean Lennon	Sean Lennon
Nusra Front	AlNusra Front
Yuko Obuchi	Yūko Obuchi
Toyota Stadium	Toyota Stadium
Robert Mueller	Robert Mueller
Tone	Thônex
Fukushima Prefecture	Fukushima Prefecture
Kiss	Kiss
Secret	Secret
Courtney Hodges	Courtney Hodges
Bulgarian Socialist Party	Bulgarian Socialist Party
Robin Gibb	Robin Gibb
The Emperor	Empress Jitō
Oliver Kahn	Oliver Kahn
Gregory IV	Pope Gregory IV
Batislava Sloan Sports Club	ŠK Slovan Bratislava
Academia Sinica	Academia Sinica
Gan Chinese	Gan Chinese
youde	Edward Youde
Mario Gotze	Mario Götze
Cary	Cary North Carolina
Kisarazu	Kisarazu
Republic of Congo	Republic of the Congo
Allan Poe	Edgar Allan Poe
Eddie Redmayne	Eddie Redmayne
Royal Ontario Museum	Royal Ontario Museum
Paul Bremer	Paul Bremer
Takeshi Kobayashi	Takeshi Kobayashi
Hanshan Qianlong	Ghost Dragon of Cold Mountain
Kean Johnson	Keen Johnson
Lee Seung Hyun	Lee Seunghyun
2014 Summer Youth Olympic Games	2014 Summer Youth Olympics
2015 AFC Champions League	2015 AFC Champions League
imagine	Imagine
MuhammadReza Pahlavi	Mohammad Reza Pahlavi
Martin V	Pope Martin V
Hu Zhaojun	Hu Zhaojun
John Tuzzo Wilson	John Tuzo Wilson
Mastena Stadium	Mestalla Stadium
Shioya Division	Tsukasa Shiotani
Chester William Nimitz	Chester W Nimitz
Navi	Narwee New South Wales
Mai Qiguang	Mak Chaikwong
Fabricio dos Santos Messias	Fabrício dos Santos Messias
Buffy the Vampire Slayer	Buffy the Vampire Slayer
Liang Hanwen	Edmond Leung
Hugo Lloris	Hugo Lloris
Catholic PortoSanta Rufina Roman Suburbs	Suburbicarian Diocese of Porto e Santa Rufina
Medway	Medway
Barende Bishouville	Barend Biesheuvel
Channel 1	Channel One Russia
Roger Myerson	Roger Myerson
Chen Jiaqiang	KC Chan
Sydney Airport	Sydney Airport
Dmitry Stepanovich Polyansky	Dmitry Polyansky
Inner Mongolia Zhongyou Football Club	Nei Mongol Zhongyou FC
Zhu Huimin	Queenie Chu
Mei Hanli	Francis Henry May
Olof Palme	Olof Palme
Ronald Fisher	Ronald Fisher
Prince Fushimi Palace Zhenai	Prince Fushimi Sadanaru
Lang Son Province	Lạng Sơn Province
Romain Jacobson	Roman Jakobson
Matilda of Flanders	Matilda of Flanders
Resident Evil Series	Resident Evil
Senard Lulich	Senad Lulić
Li Xini	Licinius
Sports Club Hamburg	Hamburger SV
Brazil Football League	Campeonato Brasileiro Série A
Jorge Andrade	Jorge Andrade
GLAMOROUS SKY	Glamorous Sky
Jinshen Tu	James To
Suganuma	Shunya Suganuma
Jeonsumamin	Jung Somin
Harris Sirajditch	Haris Silajdžić
Ernst Happel Stadium	ErnstHappelStadion
Southern Rhodesia	Southern Rhodesia
Zhongtian International Station	CTi International
Jan Peter Balkenende	Jan Peter Balkenende
Polish Prime Minister	Prime Minister of Poland
Park Tae Joon	Park Taejoon
Tsumi Jingping	Kyōhei Tsutsumi
Chang Wanquan	Chang Wanquan
West Virginia Administrative Divisions	List of counties in West Virginia
Lin Yixiong	Lin Yihsiung
Ayn Rand	Ayn Rand
Tehran	Tehran
Arsinois IV	Arsinoe IV of Egypt
Switzerland under21 national football team	Switzerland national under21 football team
County Tipperary	County Tipperary
Chech Marin	Cheech Marin
University of Western Ontario	University of Western Ontario
Black Tower III Trial of the Wasteland	The Dark Tower III
Hunting Valley	Hunting Valley Ohio
JavaScript	JavaScript
Hong Zhe	Hong Chul
Gustav Stresemann	Gustav Stresemann
Nakaimachi	Nakai Kanagawa
Isuzu Elf	Isuzu Elf
2012 Chinese Football Association Cup	2012 Chinese FA Cup
Yasuo Fukuda	Yasuo Fukuda
Garfield County	Garfield County Utah
Freeform	Freeform
Voice of EARTH	Voice of Earth
Batman Forever	Batman Forever
Shandong University	Shandong University
Yang Tieliang	Yang Tiliang
Kumi Koda	Kumi Koda
Xu Ruoxuan	Vivian Hsu
Latvian	Latvian language
Empress Xiaocigao	Empress Ma
like  a person	Pleasantly Surprised
Tyne Castle Stadium	Tynecastle Stadium
Alan Tomson	Alan Thompson
SEASONS	Seasons
August Wilhelm von Hoffmann	August Wilhelm von Hofmann
BrazilianPortuguese	Brazilian Portuguese
Hirosaki	Hirosaki Aomori
Sub Pop	Sub Pop
Kevin Cash	Kevin Cash
Alexander the Greats campaigns in the Balkans	Alexanders Balkan campaign
shires	The Hills Shire
Maurice BourgetMonouli	Maurice BourgèsMaunoury
Menlo Park	Menlo Park California
CastileLeon	Castile and León
Prince Carl Philip	Prince Carl Philip Duke of Värmland
Adib Shakri	Adib Shishakli
George Papadopoulos	Georgios Papadopoulos
Entertainment Time Network	Showtime
Lusio	Lúcio
ActionScript	ActionScript
Stanislaw Mikovajczyk	Stanisław Mikołajczyk
Quang Tri Province	Quảng Trị Province
MT Framework	MT Framework
President of the Philippines	President of the Philippines
Windows Server 2008	Windows Server 2008
Wang Shouting	Wang Shouting
Albanian Democratic Party	Democratic Party of Albania
Mongolia	Mongolia
SISTAR19	Sistar19
Shin Eun Soon	Shin Inseob
Neil Pelt	Neil Peart
John Quincy Adams	John Quincy Adams
Jeremy Bentham	Jeremy Bentham
Albert Gallatin	Albert Gallatin
glorious	Koei
Babe Ruth	Babe Ruth
He Yingqin	He Yingqin
Criterion Games	Criterion Games
Wang Dingchang	Ong Teng Cheong
Rolandas Paxas	Rolandas Paksas
Wolfgang Schaeuble	Wolfgang Schäuble
Li Rong	Lee Yong
Faye Disc	Faye Disc
Denis Diderot	Denis Diderot
Republic of Vietnam Army	Army of the Republic of Vietnam
Giorgio Chiellini	Giorgio Chiellini
SDF	Japan SelfDefense Forces
Stan Loos	Storm Roux
Tajimi City	Tajimi Gifu
devon	Devon
201213 English Premier League	201213 Premier League
Jalan Besar Stadium	Jalan Besar Stadium
Mateo Renzi	Matteo Renzi
CW Television Network	The CW
Mario Gavlanovic	Mario Gavranović
National Geographic Channel	National Geographic Channel
Norfolk Island	Norfolk Island
Xu Ruyun	Valen Hsu
Luo Minzhuang	Mimi Lo
Guy de Maupassant	Guy de Maupassant
Fuminis Football Club	Fluminense FC
TVBS News	TVBSNEWS
Lu Camp Stadium	Camp Nou
Sunderland	Sunderland Tyne and Wear
Song Ji Eun	Song Jieun
Winners	The Wynners
Percy Byshe Shelley	Percy Bysshe Shelley
Dalian Shide Football Club	Dalian Shide FC
brisbane	Brisbane
Batangas Province	Batangas
Chanis Tsanetakis	Tzannis Tzannetakis
Ferrit Mellen	Ferit Melen
J8	Shenyang J8
Middle Tibetan	Old Tibetan
Tim Krell	Tim Krul
Talkin 2 myself	Talkin 2 Myself
Los Alamos National Laboratory	Los Alamos National Laboratory
Victory Tour	Victory Tour
Peter Eisenman	Peter Eisenman
Hilary Whitehall Putnam	Hilary Putnam
Feddy Taylor	Fatih Terim
Luo Zhien	Lo Chihen
School Police Sniper	EU
Jan Kazimierz	John II Casimir Vasa
Lake Michigan	Lake Michigan
Zhao Yuanxi	Cho Wonhee
JeanPierre Raffarin	JeanPierre Raffarin
Song Wenjie	Song Wenjie
Boyi IX	Pope Boniface IX
Daisuke Matsui	Daisuke Matsui
Guan Zhen	Guan Zhen
Windows 81	Windows 81
Hu Zhijun	Hu Zhijun
The Hidden Wolf	Ōkami Kakushi
Ota City	Ōta Gunma
Avila Province	Province of Ávila
Stanko Todorov	Stanko Todorov
Han Xue	Han Xue
Milton Township	Milton Township Butler County Kansas
NEVER GONNA GIVE YOU UP	Never Gonna Give You Up
Suzuki Airi	Airi Suzuki
Liu Cixin	Liu Cixin
Suzuki Escudo	Suzuki Escudo
Football Association of the Republic of China	Chinese Taipei Football Association
Harbin	Harbin
Giuliano Amato	Giuliano Amato
Washington Bartlett	Washington Bartlett
Philip Rosler	Philipp Rösler
Alex Sange	Alex Song
Ferrando Morendis	Fernando Morientes
Lokomotiv Plovdiv Football Club	PFC Lokomotiv Plovdiv
WANT ME WANT ME	Want Me Want Me
Juan Guillermo Cuadrado	Juan Cuadrado
Chen Boyu	Jason Chan
Zhang Jinchuang	Trương Tấn Sang
OS X Mavericks	OS X Mavericks
Ayaka Umeda	Ayaka Umeda
LIFE	Life
United States Attorney General	United States Attorney General
Chiayi City	Chiayi
Assassins Creed	Assassins Creed
Guoneng Li	Andrew Li
Bellevue Hill	Bellevue Hill New South Wales
SUMMER SONG	Summer Song
Angu	Anggun
Stefan Effenberg	Stefan Effenberg
Maoming	Maoming
Pat Hingle	Pat Hingle
Bright Eyes Shana	Shakugan no Shana
grunge	Grunge
Edmund Barton	Edmund Barton
Woodrow Wilson	Woodrow Wilson
Ken Salazar	Ken Salazar
Hergen Football Club	BK Häcken
Shanghai Greenland Shenhua Football Club	Shanghai Greenland Shenhua FC
200405 UEFA Cup	200405 UEFA Cup
Drake	Drake
Hu Baiquan	Woo Pakchuen
Edward Shevardnadze	Eduard Shevardnadze
Sarajevo	Sarajevo
Zhuge Liang	Zhuge Liang
Jedda Al Ali Sports Club	AlAhli Saudi FC
David Cameron	David Cameron
Naxi	Naxi language
Leandro Neto	Leandro Netto de Macedo
Park Juyoung	Park Chuyoung
Leichardt	Municipality of Leichhardt
Pope Dewu I	Pope Adeodatus I
New Zealand Defence Force	New Zealand Defence Force
Wu Jing	Wu Jing
J6 Fighter	Shenyang J6
south dakota	South Dakota
Naji Imre	Imre Nagy
Love across the ocean	Love Across the Ocean
Helen Ma	Helen Ma
Pope Alexander I	Pope Alexander I
Hurricane Dean	Hurricane Dean
Latvia National Under21 Football Team	Latvia national under21 football team
Russian	Russian language
Benjamin Harrison	Benjamin Harrison
Huang Jiading	Ong Ka Ting
Komi	Komi language
Malawi	Malawi
Leo XII	Pope Leo XII
Lazio	Lazio
Kamenashi Kazuya	Kazuya Kamenashi
University of California	University of California
Sports Club Hertha Berlin	Hertha BSC
Greg Oden	Greg Oden
Jiang Jihong	Jiang Jihong
Lu Huiyi	Koni Lui
Sato Sato	Hisato Satō
Fernando Enrique Cardoso	Fernando Henrique Cardoso
Wins Cable	Vince Cable
Always Be My Baby	Always Be My Baby
Wang Junxin	Grace Wong
kerala	Kerala
Beat It	Beat It
30 seconds to Mars	Thirty Seconds to Mars
Gloucestershire	Gloucestershire
Reims	Reims
Sapsburg 08 Football Club	Sarpsborg 08 FF
Fuling District	Fuling District
Surface	Surface
Pol Pot	Pol Pot
Atlantic Records	Atlantic Records
Nobel Prize in Economics	Nobel Memorial Prize in Economic Sciences
algeria	Algeria
Pete de Jong	Piet de Jong
JapanRyukyu	Japonic languages
3rd Army of the Republic of Vietnam	III Corps
The student council president is a maid	Maid Sama
Czech Football League	Czech First League
Thomas Sorenson	Thomas Sørensen
County Galway	County Galway
Career Challenge Series 3	Pro Challenge Series  Event 3
Clear Water Council	Pittwater Council
Goa Football Club	FC Goa
Rakuten	Rakuten
Jorge Luis Pinto	Jorge Luis Pinto
Somerset	Somerset
Sunrise Sunset LOVE is ALL	Sunrise Sunset
Eason Chan	Eason Chan
DreamWorks	DreamWorks
Haikou	Haikou
lane	Nani
SEVEN	Seven
Li Shuangjiang	Li Shuangjiang
North Plains Mile	Rie Kitahara
North Korean Peoples Committee	Provisional Peoples Committee for North Korea
Kevin Durant	Kevin Durant
Joe Smith	Joe Smith
BOLERO	Bolero
Hadrian V	Pope Adrian V
JiangThe Warring States of the Princesses	Gō
Susan Collins	Susan Collins
Alexis Tocqueville	Alexis de Tocqueville
Kingdom of Georgia	Kingdom of Georgia
Irving	Irvine California
Pirates of the Caribbean	Pirates of the Caribbean
Daniel Van Buiten	Daniel Van Buyten
Umbro	Umbro
Pierre Morroy	Pierre Mauroy
Like a virgin	Like a Virgin
Saad Daula	Saad adDaula
Hamid Altintop	Hamit Altıntop
Barrie Sports Club	FC Bari 1908
Shandong Province	Shandong
Ghent	Ghent
Ku Hye Sun	Ku Hyesun
Zhongxian Yangtze River Bridge	Zhongxian Yangtze River Bridge
Martin ONeal	Martin ONeill
Los Llanos de Aridane	Los Llanos de Aridane
Speedy Otaku	Yowamushi Pedal
Ingush	Ingush language
IndusAmsis	Indulis Emsis
Labour	Labour Party
Pope John V	Pope John V
Shini Bhamo	Seni Pramoj
An Yixuan	Ady An
Mary Adelaide County	Princess Mary Adelaide of Cambridge
Jewelry	Jewelry
Edwin van der Sar	Edwin van der Sar
George Patton	George S Patton
The Condor Heroes	The Return of the Condor Heroes
Jay Carney	Jay Carney
Howard Webby	Howard Webb
Li Weihan	Li Weihan
Eindhoven	Eindhoven
Justin Yifu Lin	Justin Yifu Lin
Jacob Faulhard	Jacob Volhard
Leeds Football Club	Leeds United FC
Princess Little Sister	Romantic Princess
Algerian War	Algerian War
Joseph Kabila	Joseph Kabila
Mai Ruobin	Robin McLaren
Nicholas II	Nicholas II of Russia
Shenzhou III	Shenzhou 3
Northern Ireland Varsity	Northern Ireland national football team
Gothenburg	Gothenburg
Clement VIII	Pope Clement VIII
Ben Sass	Ben Sasse
The End of the World	Kono Yo no Kagiri
Lace Master	Gossip Girl
British Airways	British Airways
New York Yankees	New York Yankees
SMTHE BALLAD	SM the Ballad
James Rodriguez	James Rodríguez
Zdenek Grigera	Zdeněk Grygera
DanishParliament	Folketing
Alexander Fyodorovich Kerensky	Alexander Kerensky
Huang Debin	Kenny Wong
Ministry of Justice of the Republic of China	Ministry of Justice
Sexy Free  Single	Sexy Free  Single
Communist Party of Czech and Moravia	Communist Party of Bohemia and Moravia
Bless4	Bless4
Mikael Landero	Mickaël Landreau
Bunun	Bunun language
George Napolitano	Giorgio Napolitano
George Reid	George Reid
HTC One	HTC One
Samsung Galaxy Note Edge	Samsung Galaxy Note Edge
Dara	Sandara Park
Emperor Wei Xiaowu	Emperor Xiaowu of Northern Wei
Maicon Douglas Cicendo	Maicon Sisenando
Mike Havinal	Mike Havenaar
Colorado River	Colorado River
Secretary of the Central Commission for Discipline Inspection of the Communist Party of China	Secretary of the Central Commission for Discipline Inspection
Getafe	Getafe
Brunei National Football Team	Brunei national football team
Tom Herning Overreb	Tom Henning Øvrebø
Fusheng City	Fussa Tokyo
Mark Bisianu	Mark Bresciano
I am	I Am
Yueyang	Yueyang
Central Kalimantan	Central Kalimantan
Kato Takaaki	Katō Takaaki
gabon	Gabon
Alexander III	Alexander III of Russia
Quanzhang Pian	Hokkien
The Battle of Qingchang Ryukyu	Invasion of Ryukyu
Charles WatsonWentworth 2nd Marquess of Rockingham	Charles WatsonWentworth 2nd Marquess of Rockingham
Windows Mobile	Windows Mobile
Cambodia Japanese Occupation Period	Japanese occupation of Cambodia
Kim Shellstrom	Kim Källström
Liu Xianhua	Henry Lau
Taian	Taian
Thai text	Thai alphabet
Javanese alphabet	Javanese script
Bruce Dieter	Bruce Djite
Binan City	Hekinan
Shan	Shan people
Nicolas Ledescu	Nicolae Rădescu
1860 Munich Athletic Conference	TSV 1860 München
2014 AFC Champions League	2014 AFC Champions League
Square Enix Europe	Square Enix Europe
David James	David James
Nara City	Nara Nara
Windows Phone 81	Windows Phone 81
Buono	Buono
Frozen	Frozen
WebOS	WebOS
Stefana Mbia	Stéphane Mbia
Michael Jackson	Michael Jackson
Lhasa Gonggar Airport	Lhasa Gonggar Airport
Hannah Montana	Hannah Montana
Weng Jinzhu	Wong Chinchu
Haim Herzog	Chaim Herzog
Tokugawa Jiada	Tokugawa Iesato
Zambia National Football Team	Zambia national football team
Oxford United Football Club	Oxford United FC
Eiji Kawashima	Eiji Kawashima
Jiaxing	Jiaxing
Wah Yan College Hong Kong	Wah Yan College Hong Kong
Ludwig III	Ludwig III of Bavaria
Legislative Yuan	Legislative Yuan
Shnisha Mihlo domain	Siniša Mihajlović
Xie Fuzhi	Xie Fuzhi
Domzal Football Club	NK Domžale
Eugene	Eugene Oregon
Vikings Football Club	Viking FK
England B Division	Football League Second Division
€	Euro
Beijing Workers Stadium	Workers Stadium
Qianlong Emperor	Qianlong Emperor
Carlos	Carlos Duke of Parma
Super JuniorM	Super JuniorM
HarvardCollege	Harvard College
University of Chile Football Club	Club Universidad de Chile
Coats Road Sports Club	Cruzeiro Esporte Clube
Ali Muhammad Mujawar	Ali Muhammad Mujawar
2008 South Ossetia War	RussoGeorgian War
Takaichi Sanae	Sanae Takaichi
Danielle Diordonu Suarez	Danilo Soares
England Football Team B	England national football B team
Theora	Theora
Russell Brand	Russell Brand
Miami FC	Miami FC
Dear J	Dear J
Anaheim	Anaheim California
Valencia Mastina	Valencia CF Mestalla
Duncan Edward Odgerton	Duncan Oughton
Kozhikode County	Kozhikode district
Sofia Loren	Sophia Loren
Didier Deschamps	Didier Deschamps
KDE	KDE
Ottoman Empire	Ottoman Empire
University of Liverpool	University of Liverpool
Kaohsiung MRT Orange Line	Orange Line
Huang Rong	Huang Rong
Irtysh	Irtysh River
Benedict Arnold	Benedict Arnold
Baron Straker	Baron Strucker
Tami Baldwin	Tammy Baldwin
Kenhisa Tamura	Norihisa Tamura
hamburg	Hamburg
German	German language
Red Star Awards 2003	Star Awards 2003
Rostin Griffith	Rostyn Griffiths
Edinson Cavani	Edinson Cavani
Lees Korea	Joseon
Alexandra of Denmark	Alexandra of Denmark
2007 AFC Champions League	2007 AFC Champions League
Charlotte	Charlotte
Salvatore Sirigu	Salvatore Sirigu
Anda Weiss	André Weis
Xie Chen Gaowei	Jason Crowe
Todor Bulmov	Todor Burmov
John VIII	Pope John VIII
Ester Family	House of Este
Queen Frederick	Victoria Princess Royal
Ulchi	Ulch people
Mai Changqing	Evergreen Mak Cheungching
Sunrise	Hi Izuru Tokoro
Xu Fan	Xu Fan
abkhazia	Abkhazia
Azerbaijani	Azerbaijani language
University of Turin	University of Turin
Liu Shishi	Liu Shishi
Nintendo Network	Nintendo Network
Tochigi Prefecture	Tochigi Prefecture
La Mirada	La Mirada California
Karel Schwarzenberg	Karel Schwarzenberg
Berlin	Berlin
Kluwera Orchestra	Krewella
Nino Burjanadze	Nino Burjanadze
Tom Caton	Tom Cotton
Shadley Ben Jadid	Chadli Bendjedid
Williamsong	Wilhelmus
Sigismund August	Sigismund II Augustus
Jack Thor	JackTor
Pat Toomey	Pat Toomey
John Taylor	John Tyler
Social Democratic Labour Party	Social Democratic and Labour Party
Republic of Singapore Air Force	Republic of Singapore Air Force
Hatsune Miku	Hatsune Miku
Bradford	Bradford
Bratislava	Bratislava
Daniel Zitka	Daniel Zítka
Yang Peian	Yang PeiAn
Buryat	Buryat language
surrey	Surrey British Columbia
Austria National Football Team	Austria national football team
Anthony Kennedy	Anthony Kennedy
Glasgow	Glasgow
honduras	Honduras
Michael Schumacher	Michael Schumacher
Charleston	Charleston South Carolina
Christian Macho	Christian Maggio
Pierre Curie	Pierre Curie
Tachira Athletic Football Club	Deportivo Táchira
PKK	Kurdistan Workers Party
Niko Kovacs	Niko Kovač
Artaxerxes I	Artaxerxes I of Persia
Cambridge United Football Club	Cambridge United FC
Zhejiang Province	Zhejiang
Naha City	Naha
Côte dIvoire	Ivory Coast
Alan Ball	Alan Ball
Cai Xili	Chua Soi Lek
A ONE	A One
Mahmoud Ahmadinejad	Mahmoud Ahmadinejad
Tubo	Tibetan Empire
Exeter City Football Club	Exeter City FC
Sergey Aksyonov	Sergey Aksyonov
Valais	Valais
Tang Dechao	Tang Dechao
Matthew Hancock	Matthew Hancock
Upper IJssel	Overijssel
Jens Jeremias	Jens Jeremies
Nicolas I	Pope Nicholas I
BioWare	BioWare
Wang Yunlong	Wang Yunlong
Aziz Ibrahimov	Aziz Ibragimov
blackberryworld	BlackBerry World
Ito Masayoshi	Masayoshi Ito
Akita	Akita Akita
Lu Junyi	Lo Kwan Yee
Ezquel Lavizzi	Ezequiel Lavezzi
Vasily Tallev	Vasile Tarlev
Ireland Football Association	Football Association of Ireland
Robert Stewart Viscount Cassuri	Robert Stewart Viscount Castlereagh
Nexus 9	Nexus 9
bedfordshire	Bedfordshire
Princess Marta	Princess Märtha of Sweden
Rise Records	Rise Records
Ugaki Kazunari	Kazushige Ugaki
Henry Gray 1st Duke of Suffolk	Henry Grey 1st Duke of Suffolk
Little Rock	Little Rock Arkansas
Soka	Sōka
Ruben Baraja	Rubén Baraja
Isabel	Isabel Princess Imperial of Brazil
Naoto Kan	Naoto Kan
Sepa Football Club	Saipa FC
Masri Sports Club	AlMasry SC
Carolyn	Caroline Princess of Hanover
NorthCalais	NordPasdeCalais
Ezel Weizmann	Ezer Weizman
Li Keqiang	Li Keqiang
Ochanomizu Station	Ochanomizu Station
Yau Tenghua	Edward Yau
Golden Eagle	Golden eagle
Dizzy Storm	Blackout
Juan Arango	Juan Arango
WatchOS	WatchOS
Chase	Chase
All Japan Air Transport	All Nippon Airways
Manchester	Manchester New Hampshire
George Darwin	George Darwin
Kazakh Soviet Socialist Republic	Kazakh Soviet Socialist Republic
Kurt Meyer	Kurt Meyer
Addison Baraga	Ademilson
Visual Basic	Visual Basic
The Headless Horseman Leaks DuRaRaRa	Durarara
Indiana University	Indiana University
Mumbai Football Club	Mumbai City FC
Jiaqingdi	Jiaqing Emperor
Republic of Buryatia	Buryatia
Game of Thrones	Game of Thrones
Ariel Lin	Ariel Lin
Baroness Frances da Sousa	Frances DSouza Baroness DSouza
Yokohama International Arena	International Stadium Yokohama
Wu Yufei	Kary Ng
true love while now	Love Now
city of gothenburg	Gothenburg Municipality
Lao Dai	Tai Tham alphabet
William Owen	William Irwin
Liu Zhijun	Liu Zhijun
Boeing717	Boeing 717
Love  Peace	Love  Peace
Socrates	Socrates
Christian Democrats	Christian Democrats
Emmanuel Adebayo	Emmanuel Adebayor
Zhang Chengxiang	Zhang Chengxiang
pope	Pope
ONE OK ROCK	One Ok Rock
Safavid	Safavid dynasty
Tonami City	Tonami Toyama
ShinOsaka Station	ShinŌsaka Station
Lars Bender	Lars Bender
Shogakukan	Shogakukan
Darius II	Darius II
Nice Olympic Gymnastics	OGC Nice
Columbia Films	Columbia Pictures
Juan Antonio Samaranch	Juan Antonio Samaranch
Diablo series	Diablo
Ossetian	Ossetian language
Ferdinand Schener	Ferdinand Schörner
Mitsuhiro Iwagi	Mitsuhide Iwaki
Eva Braun	Eva Braun
Carl Pearson	Karl Pearson
Naruto	Naruto
Nicole Keeman	Nicole Kidman
South India	South India
Paraguay Football League	Paraguayan Primera División
David Packard	David Packard
Heye	Hre people
Wanzhou Yangtze River Bridge	Wanxian Bridge
The Third Battle of Kharkiv	Third Battle of Kharkov
Blanko Crvenkowski	Branko Crvenkovski
Pius IX	Pope Pius IX
President of Singapore	President of Singapore
Sogdian alphabet	Sogdian alphabet
Thomas Graveson	Thomas Gravesen
Hu Chunhua	Hu Chunhua
Chandler Khalil Pasha	Çandarlı Halil Pasha the Younger
McCann Tumble	Malcolm Turnbull
Galicia	Galician language
Frank Murkowski	Frank Murkowski
zusu	Josué Anunciado de Oliveira
Old Persian	Old Persian
Georg Friedrich	Georg Friedrich Prince of Prussia
Cosmin Contra	Cosmin Contra
Xianning	Xianning
Zhuang Hansheng	Alan Johnson
John Whittingdale	John Whittingdale
Zhonghui	Zhong Hui
Su Jiaquan	Su Chiachyuan
Earl Page	Earle Page
Meizhou	Meizhou
SAKURA Sea of Cherry Blossoms and Mist	Sakura Hanagasumi
Guerrilla Football Club	FK Partizan
Helmut Schmidt	Helmut Schmidt
Metro Manila	Metro Manila
Nagai Kensuke	Kensuke Nagai
Galileo Galilei	Galileo Galilei
MySQL	MySQL
Peoples Unity	Popular Unity
Jay Bothroyd	Jay Bothroyd
Cmon	Cmon
jews	Jews
Robert Smith	Robert Smith
Fuchu City	Fuchū Tokyo
Fengtai County	Fengtai County
Albrecht	Albrecht Duke of Bavaria
Lionel Messi	Lionel Messi
A Song for ××	A Song for ××
French Navy	French Navy
Manchu	Manchu people
Wu Zhaoxie	Joseph Wu
Tel Aviv Sharpe Football Club	Hapoel Tel Aviv FC
The Third Crusade	Third Crusade
