BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Brian Wilson	Brian Mulroney,Bill Nelson,Yan Xishan,Conan OBrien,Brazil,William Windom,Ron Wyden,Hakan Yakin,Marion Raven,Henri Brisson,Ivan Silayev,Wind song,Milan Susak,Arjen Robben,Édith Cresson,Confignon,Liu Jian,Iron Man,Bashkirs,Brooklyn,Star Wars,Chris Brown,Chris Weitz,Duncan Oughton,Blake Ross,Cao Cao,John Bercow,Emma Goldman,Roger Wicker,Sunny Hill,Ronan Keating,Roman Sharonov,Alan Sheehan,John Curtin,Mariah Carey,Stefan Löfven,Jahangir,Egirls,Luís Figo,Nightwish,Wally West,Senad Lulić,Jay album,Ich will,GDragon,Armen Sargsyan,Cape Colony,So Girls,Friends season 7,Brian Wilson
Mattey Vidra	Patty Murray,Manuel Valls,Katy Perry,Ledley King,Malice Mizer,Maya Yoshida,Camellia,Palencia,Montesquieu,Madrid,Pauleta,Carl Valeri,Victor Ponta,Sammir,Marco Di Vaio,Sunny Hill,Marc Janko,Battle Fever J,Mazda Cosmo,Padmé Amidala,Zenica,AlQaeda,Marion Raven,North Sea,Katowice,Tong Liya,Kurt Alder,Lethbridge,Maxis,David Stern,Moshe Katsav,Ranger 6,Hayato Ikeda,Cathay Pacific,Ranger 2,Shueisha,Jerry Moran,Tajimi Gifu,Pope Mark,Maebashi,Gary Locke,Bashkirs,Jay album,Mario Gómez,Samuel Alito,Kashiwa,Jahangir,Mestizo,West Java,Matěj Vydra
Over Load	Avex Trax,FC Goa,Americas,Oregon,Ovid,OneDrive,TRAX band,Wind song,Oppa Oppa,MeeGo,GDragon,Tomer Hemed,OpenJDK,Rivers Cuomo,Bird,Soft rock,Air Canada,Celeron,Wilber Pan,Sven Bender,Luo Gan,Goa,Gary Locke,Zenica,Liu Jian,Ched Evans,Tong Liya,Nevada,Sendai,Bradford,Jerry Moran,Star Wars,Karakoram,Belgrade,Odawara,Cameroon,Hard rock,Iron Man,Cao Cao,Berbers,Gerald Ford,Niels Bohr,AS Roma,H EP,Moon EP,Berlin,Madrid,Fool Again,Heartful,Over Load
Donald Rumsfeld	Gerald Ford,Conan OBrien,Donnie Yen,Gerald Guralnik,Ernst Kummer,Tomer Hemed,Senad Lulić,Mao Fumei,Ron Wyden,Rahm Emanuel,Angela Merkel,David Stern,Duncan Oughton,Montesquieu,Harold Urey,Blake Ross,Milan Susak,Émile Borel,Drake rapper,Mohamed Morsi,Tomb Raider,Dave Mustaine,Gold Typhoon,Ronan Keating,Run Run Shaw,Mongol Empire,Bradford,Wind song,Brian Mulroney,Malcolm Fraser,Donald III of Scotland,Bill Nelson,Todor Burmov,Bob Corker,John B Weller,Roger Wicker,Aldous Huxley,Dianne Feinstein,Robert Trivers,Sean Connery,Benjamin Disraeli,Jimmy Bullard,Gary Locke,Brian Wilson,John Curtin,Henri Brisson,Pat Roberts,Thomas Pledl,Carl Valeri,Donald Rumsfeld
Giordano Bruno	Gordon Sprigg,Conan OBrien,GDragon,Angelino Alfano,John Bercow,Todor Burmov,Cao Cao,Sherrod Brown,Brian Wilson,Karakoram,Milan Susak,Tim Krul,Michael Bay,William Chan,North Brabant,Roman Sharonov,Jerry Moran,Chris Brown,Gerald Ford,Flora Finch,Qin Sheng,Paraná state,Wang Zhen,Mazda Cosmo,Guo Jinlong,Edogawa Tokyo,Yang Xu,Gilan Province,Gold Typhoon,Wind song,Surface Pro 2,Iron Man,Windows Phone,Giorgio Chiellini,Bertrand Delanoë,Herbert Blumer,Hard rock,Henri Brisson,Niklaus Wirth,Pedro Pires,Rivers Cuomo,Gerd Müller,William Windom,Lucrezia Borgia,Donnie Yen,Adam Smith,Niels Bohr,Mario Gómez,Chavacano,Giordano Bruno
Yanan	Yunnan,Naha,Busan,Yemen,Jining,Qantas,Nampo,Sendai,Yang Xu,Kaká,Astana,Clang,Lyon,Goa,Maxis,Monaco,Linux,Paris,Luo Gan,Yan Xishan,Yugawara,Lu Xun,Hebei,Zenica,Gujarat,Odawara,Sakhalin,GDragon,Bird,Sammir,Delhi,Metz,Quito,Guangxi,Xiaomi,Valencian,AWK,Cao Cao,Nevada,Jahangir,Oregon,McLaren,VIXX,EXID,H EP,Cinemax,SS501,MeeGo,SDN48,Yanan
Anton Pavlovich Chekhov	Patrick Leahy,John Paul Stevens,Gilan Province,Athletic Bilbao,Édith Cresson,Avril Lavigne,Timon Wellenreuther,Ho Chi Minh City,Andi Herzog,Mamadou Sakho,Angelino Alfano,Alan Sheehan,Atlantic Records,Saint Paul Minnesota,Yury Luzhkov,Todor Burmov,Ivan Silayev,Giordano Bruno,Benjamin Bristow,Fabio Capello,John Archibald Wheeler,Mariah Carey,Otto Grotewohl,Savo Milošević,Asamoah Gyan,Angela Merkel,Nikola Petković,Yōko Kamikawa,Donald Rumsfeld,Kuniaki Koiso,Aksel V Johannesen,Otto Weininger,Arjen Robben,Ali Abdullah Saleh,Marc Janko,Cao Cao,Tongzhi Emperor,RCD Mallorca,Tom Hiddleston,Roman Sharonov,Kazuhiko Chiba,Peter Crouch,Donnie Yen,Wuhan Zall FC,Phil Spector,Angelo Ogbonna,San Antonio Spurs,Cathay Pacific,The Magicians Nephew,Anton Chekhov
Pius IX	Pauleta,Zhu Xi,Busan,Nexus 6P,Pakistan,Bird,EXID,Corsier,VIXX,Lu Xun,Tigris,Yang Xu,Linux,Quito,Luo Gan,Liu Jian,Cinemax,Hitachi,Yunnan,Suzhou,H EP,SimCity,Moon EP,Jining,Xiaomi,Pope Leo IX,BASIC,Pope Mark,Paris,Ovid,Epicurus,Cao Cao,Monaco,Oregon,Luís Figo,Armenia,Tim Krul,Mestizo,Niels Bohr,Sammir,Zenica,FC Goa,Modula2,McLaren,Celeron,Astana,Clojure,Delhi,Alkmaar,Pope Pius IX
Blue	Bird,Belize,Kaká,ABBA,H EP,VIXX,EXID,Goa,Metz,AWK,Naha,Lyon,BASIC,Clang,Delhi,TVBS,Clojure,Yemen,IOS,Linux,GNU,NTV7,Hebei,Busan,Ovid,Berlin,Pauleta,SS501,Berbers,Yanan,Belfast,Nampo,Maxis,BBC One,AlQaeda,MeeGo,Belgrade,SDN48,Quito,Zhu Xi,Lu Xun,Brazil,Paris,Chicken,Egirls,McLaren,Zenica,Brooklyn,Nevada,Blue English band
Akadian	Yanan,Naha,AlQaeda,Armenia,Americas,Sendai,Nevada,Astana,Yunnan,Luo Gan,Busan,Sakhalin,Croatia,Pakistan,Alkmaar,Akhenaten,Maxis,Liu Jian,Qantas,Madrid,Berlin,Paris,Brazil,Valencian,Nampo,AWK,Gujarat,Kaká,Chavacano,Mestizo,Jining,Zenica,Tigris,Delhi,Yemen,Hebei,Leessang,Odawara,Chandigarh,Oregon,Corsier,Sammir,Chicken,Clang,ABBA,Cinemax,Modula2,Bulgaria,Bird,Akkadian language
herder	Berbers,Bird,Corsier,Yemen,Sendai,Hebei,Berlin,Chicken,Zenica,Ovid,Esbjerg,Celeron,Metz,Delhi,Sammir,MeeGo,Belgrade,Nevada,Haarlem,Belize,Paris,AWK,Socrates,Clojure,AlQaeda,Zhu Xi,Pauleta,Kurt Alder,Gerd Müller,Kaká,Yanan,Clang,Jining,EXID,ABBA,Nampo,McLaren,Heartful,GDragon,SS501,Naha,BASIC,Americas,Egirls,Mestizo,Linux,VIXX,OpenJDK,Cameroon,Johann Gottfried Herder
Gujarat	Goa,Nevada,Punjabis,Yunnan,Budapest,Naha,Yanan,Yugawara,Bulgaria,Astana,Odawara,Busan,McLaren,GDragon,Luo Gan,Guangxi,Paris,Croatia,Zenica,Nampo,Tigris,Belgrade,Bird,Monaco,Kaká,Belfast,Sendai,Suzhou,Pauleta,FC Goa,Setagaya,AlQaeda,Karakoram,Hitachi,Socrates,Quito,Alkmaar,Clang,Celeron,Cinemax,Clojure,Modula2,GNU,Xiaomi,Maxis,Inuyasha,Esbjerg,Egirls,Haarlem,Gujarat
Ahmed Shah Bahadur	Ahmed Ouyahia,Armen Sargsyan,Alan Sheehan,Agatha Barbara,Yuan Shanshan,American Samoa,Adobe Flash Player,Lakhdar Brahimi,Anwar Sadat,Asamoah Gyan,Roman Sharonov,Niels Bohr,Luke P Blackburn,Ched Evans,Piedra Spain,The Hague,Tomb Raider,Seven Years War,One Arashi album,Rose Bowl stadium,AC Sparta Prague,Sven Bender,Chuck Schumer,UD Salamanca,Air Canada,Aung San Suu Kyi,Jahangir,Ali Abdullah Saleh,Adam Smith,Albert II of Belgium,Pedro I of Brazil,John Sherman,Pope Stephen I,Montgomery Blair,Jimmy Carter,Shanghai,Sherrod Brown,Chandigarh,Tomer Hemed,House of Vasa,Samuel L Southard,Anton Chekhov,Carlos Santana,William Chan,Ander Herrera,The Pretenders,Stephen Hawking,Ashkan Dejagah,Angelino Alfano,Ahmad Shah Bahadur
Xu Xiangqian	Dai Jiaoqian,Lu Zhangong,Hu Jintao,Guangxi,Thuringia,Lu Xun,Sun Zhengcai,Yan Xishan,Chen Jianbin,Lin Fengjiao,Liu Jian,Zhongshan,Yuan Shanshan,Yanan,William Chan,Jahangir,Xiaomi,Yunnan,Bulgaria,Valencian,AC Omonia,Li Keqiang,Deng Yingchao,Yang Xu,Wang Zhen,Li Ruihuan,Guo Jinlong,Zhu Xi,Luo Gan,Shanghai,Lee Seunggi,Leessang,Asamoah Gyan,Park Jungmin,Jules Bianchi,Jining,Kim Hyungil,Pyongyang,Run Run Shaw,Setagaya,Yugawara,Daur language,Boeing 747,AS Nancy,GDragon,Busan,Ruhrstadion,Rolling Star,Confignon,Xu Xiangqian
Setagaya Ward	Star Wars,Uttarakhand,Gerald Ford,Madagascar,Yugawara,Lekhwiya SC,Takuya Terada,Suwa Nagano,Wally West,Starcamp EP,Seven Years War,Sean Connery,Seth Harris,Vegalta Sendai,Edogawa Tokyo,Odawara,Hayato Ikeda,Sendai,Salt Lake City,Chandigarh,Inuyasha,Pyongyang,Gelderland,Sammir,Belgrade,Ibaraki Osaka,St Albans,Sunny Hill,West Java,Bulgaria,Santander Spain,TRAX band,Ledley King,Hakan Yakin,Alkmaar,Octopuss Garden,Staffordshire,Mariah Carey,Astana,Bradford,Sergey Shoygu,Sakhalin,Rainie Yang,Yitzhak Rabin,Southern Tang,Paraná state,Senad Lulić,Jimmy Bullard,Alianza Lima,Setagaya
Kareskakis Stadium	Luzhniki Stadium,Toumba Stadium,Sugathadasa Stadium,Tianhe Stadium,Mong Kok Stadium,Rose Bowl stadium,Philips Stadion,Karakoram,Westwood Studios,Hakan Yakin,Yokohama Station,Daisuke Sakata,Kamchatka Krai,Takasaki Gunma,Ibaraki Osaka,Marco Di Vaio,Kawaguchi Saitama,Piedra Spain,Kawasakiku Kawasaki,Takeaki Matsumoto,Pakistan,Kuniaki Koiso,Yashio Saitama,Dave Mustaine,Paraná state,Ruhrstadion,Lakhdar Brahimi,Kushan Empire,Vegalta Sendai,Warsaw Uprising,Kazuhiko Chiba,Haruna Kojima,Takatsuki Osaka,Santander Spain,Mamadou Sakho,Kazuma Watanabe,Maebashi,One Arashi album,Kashiwa,Gary Cahill,Salt Lake City,Azerbaijanis,Carlos Santana,Denis Zvizdić,Chris Weitz,Drake rapper,Debbie Stabenow,Anwar Sadat,Jay album,Karaiskakis Stadium
201314 English Premier League	201415 UEFA Europa League,2014 AFC Champions League,201213 UEFA Europa League,Indian Super League,Latvian Higher League,Belgian Pro League,Swiss Super League,2014 AFC Presidents Cup,English language,Blue English band,2014 Chinese FA Cup,Hong Kong Third Division League,Tim BernersLee,AC Sparta Prague,Nationalist Party Malta,Adobe Flash Player,Elvis Presley,Tochigi Prefecture,2011 FA Community Shield,Hong Kong Third A Division League,The Flash 2014 TV series,National Front France,Albanian Armed Forces,California State Senate,Red Hot Chili Peppers,Romansh language,Los Angeles Clippers,Empress Dowager Cian,Eagle Airways,Shimane Prefecture,Yamaguchi Prefecture,Haj Ali Razmara,Nagano Prefecture,Fukui Prefecture,Prince Fushimi Hiroyasu,The Hague,Ingrid Bergman,Forensic Heroes,Battle Fever J,UD Las Palmas,Qinghai Senke FC,Syrian Armed Forces,Banastre Tarleton,Mongol Empire,New Zealand Labour Party,Monthly Comic Alive,Khmer Empire,Kitchen Nightmares,Like a Virgin song,201314 Premier League
Tigris	Paris,Maxis,Bird,Egirls,Madrid,Sammir,Delhi,Bulgaria,Epicurus,Hebei,Ovid,SimCity,Jining,Nightwish,Xiaomi,Americas,Tim Krul,TVBS,Linux,Qantas,Illinois,Berlin,Brazil,Gujarat,Oregon,Corsier,Yunnan,Zenica,Berbers,Armenia,Astana,Nevada,Nampo,Punjabis,EXID,Quito,Celeron,Mestizo,Naha,Bashkirs,Suzhou,Monaco,Busan,Yanan,Belgrade,Croatia,Hitachi,Lyon,Belfast,Tigris
Begji Keid Essebsi	Bert T Combs,Henri Brisson,Benjamin Disraeli,Mari Kiviniemi,Rensuke Isogai,Mohamed Morsi,Luigi Einaudi,Ched Evans,Benjamin Bristow,Pedro Pires,Brown Eyed Girls,Blake Ross,Heath Ledger,Haj Ali Razmara,Bertrand Delanoë,Nereu Ramos,Tim BernersLee,Zhang Yesui,Suzuki Escudo,Levi Woodbury,Otto Weininger,Lee Seunggi,Debbie Stabenow,Arjen Robben,Dianne Feinstein,Émile Borel,Yuya Tegoshi,Kuniaki Koiso,Tongzhi Emperor,Tajimi Gifu,Leessang,Hans Geiger,Roger Wicker,David Stern,John Dew bishop,Vegalta Sendai,Bill Nelson,Berbers,Tom Hiddleston,Merrimack River,Jeff Merkley,Brandeis University,Kidderminster,Robbie Keane,The Pretenders,Malice Mizer,Lethbridge,Battle Fever J,Donnie Yen,Beji Caid Essebsi
Georgios Senmaras	Georgios Tzavellas,Carlos Santana,Giannis Maniatis,George Grenville,Georges Pompidou,George Papandreou,Cosmin Contra,Pedro Pires,Giorgio Chiellini,Virgin Records,Gordon Sprigg,Vegalta Sendai,Jeremy Bentham,Yashio Saitama,North Sea,Rolling Star,Blerim Džemaili,Haj Ali Razmara,Brendon Šantalab,Qinghai Senke FC,UD Las Palmas,Luigi Einaudi,Bert T Combs,Miloš Zeman,Sergey Shoygu,Ezequiel Garay,Patrick Leahy,Nereu Ramos,Thomas Vermaelen,Norodom Monineath,Corsier,Donnie Yen,Chris Weitz,Robbie Keane,Zhang Wentian,Jerry Moran,Gerd Müller,Gerald Ford,Herbert Blumer,Mario Gómez,John Sherman,American Samoa,Atsugi Kanagawa,Mariah Carey,Mongol Empire,Deng Yingchao,Berbers,Lin Fengjiao,Marion Raven,Georgios Samaras
Lansing Michigan	Yan Xishan,Shandong Airlines,Valencian,Liu Jian,Hans Geiger,Wang Zhen,Zhang Wentian,Dai Jiaoqian,Li Ruihuan,Palencia,Thuringia,Toyota Aichi,Conan OBrien,Tong Liya,Duncan Oughton,Kashiwa,Mana Iwabuchi,Zhongshan,Rolling Star,Malice Mizer,Flea musician,Maya Yoshida,Rainie Yang,Haruna Kojima,Rensuke Isogai,Luís Figo,Hakan Yakin,William Chan,Nicki Minaj,Tang Shaoyi,Lakhdar Brahimi,Kazuhiko Chiba,Leandro Guaita,Iron Man,Lin Fengjiao,Deng Yingchao,Xu Xiangqian,Liu Yuzhang,Li Keqiang,Warwickshire,Jining,Zenica,Lingya District,County Monaghan,West Virginia,Yanan,Yunnan,Santander Spain,Madagascar,Lansing Michigan
Nintendo Information Development Headquarters	Finland national football team,Nintendo WiFi Connection,TibetoBurman languages,Princess Iman bint Hussein,Sweden national football team,Hong Kong Third Division League,List of Portuguese monarchs,France womens national football team,Timon Wellenreuther,OccitanoRomance languages,Wales national football team,Morocco national football team,Hong Kong Third A Division League,National Revolutionary Army,National Front France,Chinas Got Talent series 3,Red Hot Chili Peppers,Indonesian language,Indian Super League,Madonna entertainer,Mali national football team,Notre Dame de Paris,Prince Nikolai of Denmark,Çandarlı Ibrahim Pasha the Elder,Serbia national football team,Japanese National Railways,Financial District Manhattan,Phoenix Sky Harbor International Airport,Shandong Provincial Stadium,Dream of Love Adventure Time,Michael Marrone footballer,Tocharian languages,FrancoProvençal language,Nagano Prefecture,Ada programming language,Lao Peoples Revolutionary Party,Northwest Territories,Swift programming language,Juan Antonio Samaranch,Tibetic languages,San Antonio Spurs,Liberal Party Philippines,Vincenzo Montella,Sony Ericsson Xperia arc S,Roberto Carlos footballer,Ricardo Ezzati Andrello,UtoAztecan languages,California State Senate,Johann Gottfried Herder,Nintendo Entertainment Analysis  Development
Yitzhak Rabin	Hakan Yakin,Sakhalin,Piedra Spain,Chen Jianbin,William Chan,Wilber Pan,Uttarakhand,Cathay Pacific,Michael Bay,Seth Harris,Michael Sheen,Hitachi,Yanan,Yokohama,Star Wars,Marion Raven,Yokohama Station,Akhenaten,John Curtin,Patrick Leahy,Mariah Carey,Asamoah Gyan,Carl Levin,Miloš Zeman,Anwar Sadat,Stephen Hawking,Édith Cresson,Kamchatka Krai,Yan Xishan,Naif Hazazi,Jahangir,Arjen Robben,Nereu Ramos,Cao Cao,Conan OBrien,Animax Asia,William Golding,Li Ruihuan,Luo Gan,Shanghai,Zhu Xi,Karakoram,Ruhrstadion,Stefan Löfven,North Brabant,Dai Jiaoqian,Senad Lulić,Yuan Shanshan,Milan Susak,Yitzhak Rabin
maes	Naha,Kaká,Maxis,Paris,Lyon,Nampo,Goa,Yanan,Clang,EXID,Bird,Yemen,ABBA,VIXX,H EP,MeeGo,AWK,Hebei,TVBS,Ovid,GNU,Qantas,NTV7,IOS,Pauleta,Alkmaar,Sammir,Maebashi,Berbers,Astana,Tigris,AlQaeda,Monaco,McLaren,Budapest,Quito,Egirls,Nevada,Oregon,SS501,Busan,Haarlem,Delhi,Xiaomi,Socrates,BASIC,SDN48,Linux,Madrid,Metz
Ledley King	Leessang,Celeron,Berlin,Li Keqiang,Lethbridge,Fool Again,Ordos City,Wilber Pan,Sunny Hill,Liu Jian,Rainie Yang,Lyon,Luo Gan,Pedro Pires,Luís Figo,Delhi,Jining,Palencia,Leeuwarden,Wind song,Hebei,Lee Seunggi,Clang,Belize,Carl Levin,Gelderland,Sergey Shoygu,Valencian,Lu Zhangong,Apple A9,Lu Xun,Wally West,Yemen,Liu Yuzhang,Pyongyang,LibreOffice,Ched Evans,Pauleta,Blake Ross,Stephen Hawking,Piedra Spain,Esbjerg,Tim Krul,Angus Young,Andi Herzog,Tong Liya,Flora Finch,Qin Sheng,Adam Smith,Ledley King
Jetstar	Qantas,Astana,Leessang,Zenica,Busan,Mestizo,Nevada,Sendai,Setagaya,Corsier,Alkmaar,Metz,Botswana,Pakistan,Cinemax,Hitachi,Americas,Nexus 6P,MeeGo,WatchOS,Celeron,Pauleta,Heartful,FC Goa,Sammir,West Java,Modula2,Bob Carr,Goa,Yanan,Shueisha,Jining,Yugawara,Belize,Quito,Berbers,Yemen,Naha,Jahangir,Belfast,Delhi,Belgrade,Croatia,Gujarat,Odawara,Luo Gan,Hebei,Yunnan,Cao Cao,Jetstar Airways
Leessang	Luo Gan,Busan,Clang,Astana,Botswana,Li Keqiang,Lee Seunggi,Yanan,Jining,Setagaya,Liu Jian,Wind song,Ledley King,Zenica,Sendai,Yunnan,Lu Xun,Mestizo,Leeuwarden,Celeron,Oregon,MeeGo,Nevada,Pyongyang,Yemen,Pakistan,Luís Figo,Belfast,Lyon,Belgrade,Gelderland,Nexus 6P,Berlin,Qin Sheng,GDragon,Naha,Chavacano,Maebashi,Kaká,Zhongshan,Rainie Yang,Yugawara,Lu Zhangong,AS Nancy,Chicken,TRAX band,Hebei,Shueisha,West Java,Leessang
Lethbridge	Belgrade,Heath Ledger,Katowice,Leeuwarden,Thuringia,Delhi,Hebei,Belize,Leessang,Luís Figo,OneDrive,Madrid,Ledley King,Esbjerg,Sendai,Setagaya,Clojure,Zenica,Jining,Tigris,Bird,The Hague,Celeron,Lekhwiya SC,Metz,Nevada,Hitachi,Americas,Mestizo,Nightwish,Sakhalin,Chicken,Ich will,Kashiwa,ND Gorica,Bulgaria,Seth Harris,Heartful,Shueisha,Bashkirs,Gelderland,Ovid,Together When,Liu Jian,Berbers,Linux,Lee Seunggi,Berlin,Paris,Lethbridge
Los Angeles Clippers	Angels Fall First,San Antonio Spurs,Robert Trivers,Roger Wicker,Mongol Empire,Angela Merkel,The Pretenders,Lollipop F,John B Weller,Tongzhi Emperor,Ander Herrera,Lhasa Gonggar Airport,Klaus Augenthaler,Cosmin Contra,Montesquieu,Angelino Alfano,Cornell University,Drake rapper,Taiwanese people,Angelo Ogbonna,Eagle Airways,GNU Core Utilities,Body Feels Exit,Hans Geiger,Philadelphia 76ers,Indiana Pacers,Rose Bowl stadium,Rose Bowl Game,Red Hot Chili Peppers,Brown Eyed Girls,Bob Corker,Manuel Valls,Forensic Heroes,Lost season 3,Exeter City FC,Mayor of New Taipei,John Paul Stevens,Brandeis University,Haj Ali Razmara,Löfven Cabinet,Worcester City FC,Tomb Raider,Donald Rumsfeld,Lockheed P3 Orion,Kushan Empire,Donnie Yen,John Roberts,Samuel Alito,Georges Pompidou,Los Angeles Clippers
Stefan Lofven	Stefan Effenberg,Sean Connery,Arjen Robben,Senad Lulić,Sven Bender,Conan OBrien,Marion Raven,Stephen Hawking,Carl Levin,Ron Wyden,Gary Locke,Hakan Yakin,Yan Xishan,Thomas Hobbes,Wang Zhen,Brian Wilson,Jerry Moran,Soft rock,Heath Ledger,Over Load,Star Wars,Ivan Silayev,Niels Bohr,Duncan Oughton,John Curtin,Pedro Pires,Alan Sheehan,Hans Geiger,Bob Corker,Gerd Müller,Émile Borel,SC Heerenveen,Sherrod Brown,Mao Fumei,Milan Susak,Jeff Merkley,Donnie Yen,Gerald Ford,Tuo Zhen,Cosmin Contra,Leeuwarden,Ronan Keating,Emma Goldman,The Hague,GDragon,Ched Evans,Angela Merkel,Seth Harris,Starcamp EP,Stefan Löfven
Northrop Corporation	North Carolina,Northern California,CSX Transportation,North Brabant,Norodom Monineath,John Curtin,Yokohama Station,Lockheed P3 Orion,North Sea,Robert Coontz,Northwest Territories,Gordon Sprigg,Split Croatia,Jerry Moran,Édith Cresson,Monthly Comic Alive,Pietro Badoglio,Sorry Sorry,Rise of Nations,Bob Corker,Daraa Governorate,Nacho Monreal,Scuderia Ferrari,Good Charlotte,Order of Australia,Sherrod Brown,Ruhrstadion,John Roberts,Party of Regions,Piedra Spain,Shire of Winton,Ricardo Carvalho,Carson California,Fool Again,Croatia,Chris Brown,Agatha Barbara,Marco Di Vaio,Seth Harris,Cosmin Contra,Peter Crouch,Fahri Korutürk,Alfredo Cristiani,Pedro I of Brazil,Kourtney Kardashian,Viktor Chernomyrdin,New Horizons,AlNusra Front,Westwood Studios,Northrop Corporation
National Cheng Kung University	Northeastern University,Nankai University,Sichuan University,San Jose State University,Leiden University,Stanford University,Wuhan University,Inha University,Brandeis University,National Revolutionary Army,Cornell University,Brown University,Tulane University,National Front France,Clark University,Auburn University,Ho Chi Minh City,Nationalist Party Malta,Saint Paul Minnesota,Gothenburg Municipality,National Yilan Senior High School,Southend United FC,Connecticut River,Madonna entertainer,Li Keqiang Government,Mayor of New Taipei,Qiangic languages,Nivkh language,New Zealand Labour Party,Tin Aung Myint Oo,UtoAztecan languages,Robert Trivers,Carson California,Hausa language,Latvian Higher League,Battle Fever J,Dont Wanna Cry,Chinas Got Talent series 3,Pasadena California,Nintendo WiFi Connection,Newark New Jersey,Niklaus Wirth,Otto Weininger,Bastian Schweinsteiger,Mari Kiviniemi,Anton Chekhov,Haha entertainer,Sean Connery,Northern California,National Cheng Kung University
Maria Goeppert Meyer	Haha entertainer,Daraa Governorate,Mariah Carey,Madonna entertainer,Malice Mizer,Tim BernersLee,Mario Gómez,Marion Raven,Christoph Metzelder,Portia SimpsonMiller,Herbert Blumer,Gerd Müller,Hans Geiger,Harold Urey,SC Heerenveen,Mari Kiviniemi,Tomer Hemed,Eurico Gaspar Dutra,Pat Roberts,Phil Spector,Malcolm Fraser,Lima footballer,Montgomery Blair,Mayor of New Taipei,Drake rapper,Brian Mulroney,Game Center,Taiwanese people,Indian Super League,Copa Libertadores,Timon Wellenreuther,Klaus Augenthaler,Bastian Schweinsteiger,Thomas Vermaelen,Fabien Barthez,Fahri Korutürk,Marcel Desailly,Banastre Tarleton,Robert Trivers,Chris Weitz,Kurt Alder,Levi Woodbury,Luis Guillermo Solís,Carl Valeri,Dianne Feinstein,Marco Di Vaio,Roger Wicker,Bob Corker,Mary Todd Lincoln,Maria GoeppertMayer
LaurentDesiree Kabila	Marcel Desailly,Marco Di Vaio,Prudente de Morais,Notre Dame de Paris,Haruna Kojima,Taiwanese people,Blerim Džemaili,Rainie Yang,Waldemar Pawlak,Leandro Guaita,Gary Cahill,Lafayette Louisiana,Francesco Cossiga,Lucrezia Borgia,Ledley King,Kuniaki Koiso,Daisuke Sakata,Haha entertainer,Manuel Valls,Löfven Cabinet,Santander Spain,Forensic Heroes,Lansing Michigan,Southern Tang,Luzhniki Stadium,Leiden University,Seven Years War,West Virginia,Lakhdar Brahimi,Pauleta,Takuya Terada,Ezequiel Garay,Kazuhiko Chiba,Juventus FC,Brendon Šantalab,Francesco Toldo,Banastre Tarleton,Vincenzo Montella,George Grenville,Alfredo Cristiani,Padmé Amidala,Leessang,Pier Luigi Bersani,Luís Figo,Stephen Hawking,Nereu Ramos,Mari Kiviniemi,Moshe Katsav,Rensuke Isogai,LaurentDésiré Kabila
monaco	Goa,Zenica,Yanan,Lyon,Nevada,Yunnan,Astana,Quito,Kaká,Naha,Busan,Sendai,Nampo,Linux,Hitachi,Jining,Clang,GDragon,Moon EP,Qantas,MeeGo,Cao Cao,Metz,Croatia,Armenia,Gujarat,Oregon,Yemen,Botswana,Belize,Yokohama,Belfast,Delhi,Corsier,Americas,AS Nancy,Katowice,Sammir,McLaren,Tigris,Alkmaar,Bird,Hebei,Confignon,Suzhou,Mestizo,Chavacano,ABBA,FC Goa,Monaco
Inuyasha	Shueisha,Maebashi,Naha,Kashiwa,Yugawara,Zhongshan,Hitachi,Pauleta,AlQaeda,Busan,Yan Xishan,Odawara,Qantas,TVBSAsia,Bulgaria,Astana,Nevada,Belfast,Croatia,Gujarat,Setagaya,Animax Asia,Kaká,Camellia,GDragon,Luo Gan,Egirls,Maxis,Sendai,Yokohama,Sakhalin,Ich will,Modula2,AS Nancy,Suzhou,Tuo Zhen,Liu Jian,Guangxi,McLaren,Yanan,Linux,OneDrive,Xiaomi,FC Goa,Zenica,Alkmaar,Cinemax,Pyongyang,Tong Liya,Inuyasha
