BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Iwate	Naha,Quito,Kaká,Goa,Metz,Clang,IOS,Odawara,Busan,Hebei,Nampo,Delhi,Yanan,EXID,Bird,Croatia,Nevada,Monaco,SDN48,Lyon,Xiaomi,AWK,Astana,H EP,Ovid,Haarlem,SS501,Yemen,MeeGo,TVBS,Belize,NTV7,VIXX,ABBA,Linux,McLaren,Socrates,Maxis,Qantas,BASIC,GNU,Sendai,Yugawara,Suzhou,Hitachi,Paris,Brazil,Inuyasha,Jining,Gujarat,Yunnan,Oregon,Katowice,Zenica,Belgrade,Sammir,Budapest,AlQaeda,Tigris,Mestizo,Chicken,Guangxi,GDragon,Clojure,Corsier,Belfast,Esbjerg,Pauleta,BBC One,Alkmaar,SimCity,Egirls,FC Goa,Berbers,Heartful,Ich will,Botswana,Akhenaten,Lu Xun,Zhu Xi,FC Metz,WatchOS,Kashiwa,Setagaya,Maebashi,Madrid,Yokohama,Berlin,The Hague,Luo Gan,Palencia,Camellia,Sakhalin,North Sea,Celeron,Bulgaria,Pakistan,Bradford,Cameroon,Iwate Prefecture
Herman van Rompuy	Bert T Combs,Brian Mulroney,Sean Connery,Haruna Kojima,Hungarian forint,Huangchuan County,Arjen Robben,Bernard Mandeville,Marc Janko,Gerald Ford,Jeremy Bentham,Sergey Shoygu,Armen Sargsyan,Roman Sharonov,Haj Ali Razmara,Brian Wilson,Hakan Yakin,Nereu Ramos,Hausa language,Mariah Carey,Penguin Books,Belgian Pro League,Carson California,Hachinohe Aomori,Alianza Lima,American Samoa,Iron Man,Henri Brisson,William Windom,Jacques Demy,Ernst Kummer,Herbert Blumer,Harold Urey,Bertrand Delanoë,Haarlem,HansJürgen Stumpff,Kurt Vonnegut,Nedum Onuoha,Jerry Moran,Hans Geiger,Levi Woodbury,Brendon Šantalab,Conan OBrien,Hu Jintao,Mari Kiviniemi,Senad Lulić,Zara Phillips,Leiden University,Heath Ledger,Cosmin Contra,Thomas Hobbes,Cape Colony,UD Las Palmas,Duncan Oughton,Francesco Toldo,Ho Chi Minh City,Run Run Shaw,Blake Ross,Leandro Guaita,Merrimack River,Trabzonspor,Zhang Yesui,Wuhan Zall FC,Cao Cao,Carlos Santana,Ahmad Shah Bahadur,Emma Goldman,Vegalta Sendai,Karakoram,Marion Raven,AS Nancy,Francesco Totti,Park Jungmin,Kushan Empire,Aung San Suu Kyi,Limbu language,Chavacano,Yang Xu,Romansh language,Wuhan University,Emilia Fox,Dont Wanna Cry,Drake rapper,Gossip Candy,Aymara language,Evergreen Group,Mazda Cosmo,Yuan Shanshan,Heartful,Suwa Nagano,Syrian Armed Forces,Brown University,Newark New Jersey,Paraná state,Air Canada,Taiwanese people,Indiana Pacers,North Carolina,Armenia,Herman Van Rompuy
Sony Animation	Fool Again,Will Champion,Rise of Nations,Conan OBrien,Donnie Yen,Ronan Keating,Tong Liya,Confignon,John Curtin,Gold Typhoon,Sunny Hill,SimCity,So Girls,Sendai,Yokohama Station,Mongol Empire,Split Croatia,Yunnan,Ruhrstadion,Suwa Nagano,Sakhalin,St Albans,Dont Wanna Cry,Monaco,Socrates,Hakan Yakin,Iron Man,Samuel Alito,Liu Jian,County Monaghan,Park Jungmin,Gary Cahill,John Sherman,Chen Jianbin,Henri Brisson,Yan Xishan,Dai Jiaoqian,Zhang Wentian,Ron Wyden,Shanghai,Sun Zhengcai,Akhenaten,Hu Jintao,Cinemax,TVBSAsia,Hulk comics,Rolling Star,Yokohama,DC Comics,Toyota Aichi,GDragon,Jay album,Club Atlas,Animax Asia,Inha University,Lost season 3,Sammir,Wind song,Marion Raven,Flea musician,Sorry Sorry,Philips Stadion,Emilia Fox,AC Omonia,HTC First,Lingya District,Armenia,Seth Harris,Brian Wilson,CSX Transportation,Soft rock,Yanan,Bob Carr,Star Wars,Botswana,Brown University,Pakistan,Lyon,Phil Spector,Southern Tang,Mauritius,County Durham,Croatia,Luís Figo,Al Ain FC,Joachim Löw,Duncan Oughton,Quito,Cameroon,Piedra Spain,Will Arnett,Toumba Stadium,Zenica,Jerry Moran,Marc Janko,Salt Lake City,Azerbaijanis,Pope Mark,Padmé Amidala,Sony Pictures Animation
Chris Weitz	Chris Brown,Carl Levin,Wally West,CurtissWright,Ordos City,Chicken,Corsier,Mario Gómez,Chromecast,Chrome OS,FC Metz,Ched Evans,Phil Spector,Hans Geiger,KisMyFt2,Zhu Xi,Adam Smith,Liu Jian,North Sea,SimCity,Zhang Yesui,Luís Figo,Cinemax,Ruhrstadion,Zhang Wentian,Shropshire,Metz,Croatia,Thuringia,Paris,David Stern,Tim Krul,Conan OBrien,Kurt Alder,Ich will,Marc Janko,Thomas Pledl,Donnie Yen,Carl Valeri,Marion Raven,Gary Locke,Andi Herzog,Tomer Hemed,Brian Wilson,Sunny Hill,Ron Wyden,Maxis,Nightwish,Angus Young,Hitachi,Jerry Moran,Jining,Pauleta,Miloš Zeman,Tong Liya,Star Wars,Carlos Santana,Gary Cahill,Celeron,Cao Cao,John B Weller,Chavacano,Avril Lavigne,John Roberts,Clojure,Cosmin Contra,Katy Perry,Samuel Alito,Patrick Leahy,Tigris,Qin Sheng,Niklaus Wirth,Xiaomi,Mao Fumei,Elvis Presley,Game Center,Denis Zvizdić,Bashkirs,Shueisha,Naif Hazazi,Pat Roberts,Tajimi Gifu,Khmer Empire,Iron Man,Club Atlas,Paraná state,Camellia,Dordrecht,Hebei,Sorry Sorry,Kashiwa,Oregon,Niels Bohr,Esbjerg,Mestizo,Chandigarh,Apple Watch,Nexus 6P,Robbie Keane,Chris Weitz
MALICE MIZER	Moon EP,FC Metz,BASIC,EXID,Marion Raven,Ich will,Xiaomi Mi 2,Avex Trax,Milan Susak,Mazda Cosmo,Matěj Vydra,Miloš Zeman,Angus Young,Mohamed Morsi,H EP,AC Omonia,AS Nancy,Marc Janko,Adam Smith,Nicki Minaj,HTC One V,Anwar Sadat,McLaren,Jerry Moran,FC Goa,Pope Mark,Iron Man,Mao Fumei,Apple A9,Luo Gan,Apple Watch,Mariah Carey,Liu Jian,HTC First,Mario Gómez,Manuel Valls,Luís Figo,Lu Xun,BBC One,AS Roma,KisMyFt2,TRAX band,Gossip Candy,FC Seoul,Lollipop F,Sunny Hill,Donnie Yen,Leessang,Fool Again,SimCity,ABBA,Blake Ross,Patty Murray,FC Basel,Tomer Hemed,Egirls,VIXX,Rahm Emanuel,Flora Finch,Rivers Cuomo,Maya Yoshida,Hakan Yakin,Soft rock,Tim Krul,Sorry Sorry,Red Skull,Starcamp EP,Clojure,Émile Borel,Maxis,Victor Ponta,Ledley King,Fuchū Tokyo,Wind song,Camellia,Taylor Swift,North Sea,Andi Herzog,MeeGo,AlQaeda,Chris Brown,Mamadou Sakho,Mestizo,Thomas Pledl,Modula2,Ron Wyden,So Girls,Chris Weitz,Inuyasha,Qin Sheng,Celeron,Rainie Yang,Senad Lulić,Carl Levin,Wilber Pan,Oppa Oppa,Maebashi,Kurt Alder,Moshe Katsav,Malice Mizer
IPhone 5s	Chrome OS,Moon EP,Iron Man,Apple A9,HTC One V,Illinois,Chromecast,Cinemax,Pauleta,Qantas,Zhongshan,Ich will,Punjabis,Monaco,Berbers,Pope Mark,Zhu Xi,Jahangir,Yang Xu,Lyon,Akhenaten,Pyongyang,Nexus 6P,IOS,Cantonese,Modula2,Shanghai,Ranger 2,MeeGo,Celeron,Xiaomi,Ranger 6,Paris,Boeing 747,Maxis,Clojure,Linux,BBC One,So Girls,H EP,OpenJDK,Voyager 2,McLaren,Egirls,Clang,Bashkirs,Chicken,Budapest,Corsier,Americas,Luo Gan,Al Ain FC,Delhi,Armenia,AlQaeda,Palencia,Zenica,Valencian,Suzhou,Yokohama,Esbjerg,Shueisha,Busan,Socrates,Brooklyn,Blake Ross,John Roberts,Donnie Yen,Star Wars,Croatia,Oregon,FC Metz,Tong Liya,St Albans,DC Comics,Hebei,Yanan,Astana,Pakistan,Pat Roberts,Inuyasha,Goa,Epicurus,Dordrecht,Katowice,Guangxi,Tuo Zhen,Jining,Zhang Yesui,Cao Cao,Tigris,Naha,Haarlem,Belize,Yunnan,Mauritius,Sendai,Yemen,Metz,IPhone 5S
STAR Mika Nakajima album	Music Madonna album,One Arashi album,First Love Utada Hikaru album,Bon Voyage Kumi Koda album,Force Superfly album,Sugathadasa Stadium,Jay album,Luzhniki Stadium,Dejavu Kumi Koda album,Takasaki Gunma,Yokosuka Kanagawa,Mong Kok Stadium,Toumba Stadium,Tajimi Gifu,The Bourne Ultimatum,Alianza Lima,Yōko Kamikawa,Haruna Kojima,Daisuke Sakata,Ashikaga Yoshimitsu,Haj Ali Razmara,Kazuma Watanabe,Ashkan Dejagah,Fujisawa Kanagawa,Atsugi Kanagawa,Ahmad Shah Bahadur,Nokia Lumia 800,Yashio Saitama,Karaiskakis Stadium,Rose Bowl stadium,Takatsuki Osaka,AC Sparta Prague,City of Canada Bay,Suwa Nagano,Arabic alphabet,Tianhe Stadium,Split Croatia,Georgios Samaras,Agatha Barbara,Air Canada,American Samoa,Like a Virgin song,Starcamp EP,Takuya Terada,Avril Lavigne,Mikaël Silvestre,Takashi Sorimachi,Kuniaki Koiso,Takeaki Matsumoto,Animax Asia,Hakan Yakin,Maya Yoshida,China Railways CRH3,Brendon Šantalab,Naif Hazazi,Scuderia Ferrari,Soekiman Wirjosandjojo,Ichihara Chiba,Blerim Džemaili,Kamchatka Krai,Giannis Maniatis,Savo Milošević,Kawaguchi Saitama,Ali Abdullah Saleh,Kazuhiko Chiba,Ahmed Ouyahia,Akkadian language,OS X Mountain Lion,Lin Fengjiao,Stadium Australia,Aramaic alphabet,Ricardo Carvalho,Philadelphia 76ers,Xu Xiangqian,Sakhalin,Coptic alphabet,Rise of Nations,Athletic Bilbao,Thomas Vermaelen,Lima footballer,Tim Krul,Lucrezia Borgia,Tigrinya language,Sony Pictures Animation,UD Las Palmas,Ibaraki Osaka,Aymara language,The Magicians Nephew,Kawasakiku Kawasaki,Yitzhak Rabin,Saint Barthélemy,Tin Aung Myint Oo,Karakoram,Republic of Crimea,Tibetic languages,Dai Jiaoqian,Swiss Super League,Salt Lake City,Alkmaar,Star Mika Nakashima album
The Chronicles of Narnia	The Siren song,Republic of Genoa,Carlos Duke of Parma,The Republicans France,The Magicians Nephew,House of Vasa,Electronic Arts,The Rolling Stones,Pedro I of Brazil,Prime Minister of Slovenia,University of Turin,University of Jena,New Caledonia,Francesco Cossiga,Republic of Crimea,Carlos Santana,Carson California,Francesco Totti,The Pretenders,The Flash 2014 TV series,The Bourne Ultimatum,Rise of Nations,Shire of Winton,Queen Noor of Jordan,Tom Hiddleston,Emperor Ruizong of Tang,Central Academy of Drama,Chancellor of Germany,Prime Minister of Yemen,Blue English band,Notre Dame de Paris,University of Alabama,Georgios Samaras,Gerald Guralnik,American Samoa,University of Zurich,Northern California,Khabarovsk Krai,Chris Brown,Francesco Toldo,Seven Years War,Philip II of Macedon,DC Comics,Kourtney Kardashian,Love Across the Ocean,Occupation of Japan,Haj Ali Razmara,Order of Australia,First Minister of Scotland,Thuringia,Sherrod Brown,Los Angeles Clippers,Lucrezia Borgia,Rainie Yang,French Polynesia,CSX Transportation,Cape Colony,Blerim Džemaili,Shaquille ONeal,Thomas Vermaelen,Zhongshan,Deportivo de La Coruña,Ezequiel Garay,Victor Ponta,Scuderia Ferrari,One Arashi album,Bertrand Delanoë,Prudente de Morais,Trabzonspor,Marco Di Vaio,Giannis Maniatis,Iron Man,JeanBaptiste Lamarck,University of Portland,Hachinohe Aomori,San Antonio Spurs,Takashi Sorimachi,Juan Antonio Samaranch,Redwood City California,Carl Valeri,Denis Zvizdić,Rensuke Isogai,Ched Evans,Microsoft Word,University of Florence,Equatorial Guinea,Nilo Peçanha,Mountain View California,Chris Weitz,Pier Luigi Bersani,Azerbaijanis,Leandro Guaita,LaurentDésiré Kabila,French Navy,Chinese FA Cup,Cornell University,GeForce 400 series,Sun Zhengcai,Ahmed Ouyahia,The Chronicles of Narnia
Kuniaki Koiso	Blake Ross,Punjabis,Haruna Kojima,Kazuhiko Chiba,Tajimi Gifu,Henri Brisson,Fuchū Tokyo,Suzuki Escudo,Ibaraki Osaka,Benjamin Bristow,Nicki Minaj,Edogawa Tokyo,Xiaomi Mi 2,Mazda Cosmo,Sunny Hill,Karakoram,Animax Asia,Luís Figo,Kushan Empire,Hungarian forint,Hulk comics,Brian Wilson,Rensuke Isogai,Yuya Tegoshi,Takasaki Gunma,Ichihara Chiba,Kim Ryeowook,Suwa Nagano,Kashiwa,Marco Di Vaio,Conan OBrien,Marc Janko,Andi Herzog,Chris Weitz,Samuel Alito,Deng Yingchao,Lin Fengjiao,Liu Jian,Luzhniki Stadium,Gary Locke,Kaká,Tim Krul,Illinois,Dai Jiaoqian,Guo Jinlong,Sendai,Hu Jintao,Run Run Shaw,Nightwish,Mohamed Morsi,Niels Bohr,Senad Lulić,Duncan Oughton,Xu Xiangqian,Kurt Alder,Ledley King,Adam Smith,Ronan Keating,Cao Cao,Bill Nelson,Sukhoi Su24,Tong Liya,Gerald Ford,Mariah Carey,Anwar Sadat,Xiaomi,Émile Borel,Tigris,Sakhalin,Angus Young,Bashkirs,Emilia Fox,Wind song,Katy Perry,Kamchatka Krai,Guangxi,Katowice,Pakistan,Alianza Lima,Maxis,Confignon,Bulgaria,Surface Pro 2,Yunnan,Azerbaijanis,Budapest,Monaco,Star Wars,Penguin Books,Quito,Qantas,Mauritius,Takeaki Matsumoto,Hayato Ikeda,Mari Kiviniemi,Maebashi,Yugawara,Kim Hyungil,Donnie Yen,Kuniaki Koiso
Daisuke Sakata	Yashio Saitama,Rensuke Isogai,Takuya Terada,Takatsuki Osaka,Naif Hazazi,Mamadou Sakho,Anwar Sadat,Rainie Yang,Pauleta,Carlos Santana,Drake rapper,Air Canada,Hayato Ikeda,Haruna Kojima,Kazuma Watanabe,Yōko Kamikawa,Kawaguchi Saitama,Takasaki Gunma,Hakan Yakin,Moshe Katsav,Milan Susak,Setagaya,Victor Ponta,Atsugi Kanagawa,Yugawara,Ezequiel Garay,Haj Ali Razmara,Suwa Nagano,Liu Jian,Manuel Valls,Yokosuka Kanagawa,Samuel Alito,Ibaraki Osaka,House of Vasa,Dai Jiaoqian,David Stern,Nicki Minaj,Tianhe Stadium,Piedra Spain,Daur language,Taylor Swift,West Java,Paraná state,Basque language,Gujarat,Kazuhiko Chiba,Shueisha,Kashiwa,Inuyasha,Fujisawa Kanagawa,Tang Shaoyi,Maebashi,Gary Cahill,Odawara,Matěj Vydra,Carl Valeri,Leandro Guaita,Ashkan Dejagah,Donnie Yen,Marc Janko,Georgios Samaras,Nereu Ramos,Ludvík Svoboda,Banastre Tarleton,Run Run Shaw,Nilo Peçanha,Miloš Zeman,Padmé Amidala,Luo Gan,Malice Mizer,Patrick Leahy,Dave Mustaine,Adam Smith,Suzuki Escudo,Wilber Pan,Animax Asia,Cosmin Contra,Yokohama,Nedum Onuoha,Liu Yuzhang,Hu Jintao,Yuan Shanshan,Camellia,Debbie Stabenow,Émile Borel,Chris Weitz,Hans Geiger,Alianza Lima,Jack Kerouac,Jacques Demy,Cao Cao,Qin Sheng,Robbie Keane,Sakhalin,Blake Ross,Lin Fengjiao,KisMyFt2,Hausa language,Michael Bay,Daisuke Sakata
Tomo Hemed	Mao Fumei,Tuo Zhen,Tomb Raider,Thomas Pledl,Tim Krul,Todor Burmov,Miloš Zeman,Tong Liya,Ron Wyden,TRAX band,Thomas Hobbes,Mario Gómez,Hebei,The Hague,Yokohama,Game Center,Yemen,Andi Herzog,Sven Bender,Sammir,Kurt Alder,Fool Again,John Bercow,Bob Corker,Hans Geiger,Luo Gan,North Sea,Pedro Pires,Kim Heechul,Moon EP,Bob Carr,Donnie Yen,Clojure,Corsier,Carl Levin,Over Load,Pope Mark,So Girls,Cinemax,Katowice,John Sherman,Dordrecht,Xiaomi,Toyota Aichi,Socrates,Wang Zhen,BBC One,Soft rock,Haarlem,Yao people,Cao Cao,FC Metz,Armenia,Katy Perry,IPhone 5S,Voyager 2,Pope Leo IX,Chrome OS,AS Roma,Cantonese,Pauleta,Ich will,Chris Weitz,Seth Harris,FC Seoul,Ander Herrera,Ched Evans,Will Arnett,Tom Hiddleston,Roger Wicker,Carl Valeri,Jeff Merkley,Marc Janko,Harold Urey,FC Basel,AlQaeda,John B Weller,Celeron,Thomas Vermaelen,Qin Sheng,Émile Borel,Kim Hyungil,Camellia,Nampo,Heath Ledger,Luís Figo,H EP,Bill Nelson,Wind song,Oppa Oppa,Gerd Müller,Esbjerg,AS Nancy,Sunny Hill,Naif Hazazi,HTC One V,Bird,Marion Raven,Lollipop F,Tomer Hemed
County Durham	County Monaghan,Patty Murray,Coquitlam,Conan OBrien,John Curtin,North Sea,Chandigarh,Jeremy Bentham,Club Atlas,Sunny Hill,Toyota Aichi,John Bercow,Soft rock,Inuyasha,Tong Liya,Katy Perry,Montesquieu,Jerry Moran,Run Run Shaw,John Sherman,Naughty Dog,Todor Burmov,Yan Xishan,Yury Luzhkov,Sorry Sorry,Liu Yuzhang,Gujarat,Croatia,Yunnan,Botswana,North Brabant,West Java,Yokohama,Bulgaria,Southern Tang,Yugawara,Corsier,Pope Mark,CurtissWright,House of Vasa,Confignon,Coptic alphabet,Karakoram,Alan Sheehan,Cao Cao,John Roberts,Nedum Onuoha,Clojure,Milan Susak,Bob Carr,So Girls,Modula2,Jimmy Carter,Cinemax,OneDrive,Luo Gan,Toumba Stadium,Cosmin Contra,Senad Lulić,Zhongshan,Jimmy Bullard,Liu Jian,Chris Brown,Together When,Shueisha,Seth Harris,John B Weller,Hayato Ikeda,Bob Corker,Gordon Sprigg,Donnie Yen,Tuo Zhen,Qantas,Jay album,Duncan Oughton,Kurt Alder,Yuan Shanshan,Yang Xu,Moon EP,Lu Xun,Iron Man,Andi Herzog,Moshe Katsav,Voyager 2,Wang Zhen,Hu Jintao,Ron Wyden,Li Ruihuan,Feng Guozhang,Sun Zhengcai,Ernst Kummer,Avex Trax,Shanghai,Chuck Schumer,Cantonese,St Albans,North Carolina,Cape Colony,Goa,County Durham
Egirls	So Girls,Bird,Tigris,Epicurus,Paris,EXID,Maxis,Linux,Quito,Qantas,Ovid,Haarlem,Madrid,Berlin,H EP,SS501,VIXX,SDN48,Kaká,TVBS,MeeGo,ABBA,Ranger 2,Esbjerg,Xiaomi,Zenica,FC Goa,AWK,Chicken,Americas,McLaren,Nampo,Clang,Modula2,Ranger 6,Sammir,Yanan,Jining,Celeron,Astana,Goa,Bashkirs,Naha,IOS,Belize,NTV7,Berbers,Metz,Oregon,Suzhou,Lyon,BASIC,Zhu Xi,Socrates,Gujarat,Monaco,Nevada,Busan,Delhi,Sendai,GNU,Bulgaria,Belfast,Yunnan,Yemen,Lu Xun,Hebei,Brazil,Illinois,Heartful,GDragon,Moon EP,Ich will,Nightwish,Pauleta,OneDrive,Inuyasha,SimCity,HTC First,Hitachi,AlQaeda,TVBSAsia,Yugawara,Camellia,Clojure,Cinemax,WatchOS,Shueisha,St Albans,OpenJDK,Corsier,Jahangir,Maebashi,Star Wars,BBC One,Tim Krul,FC Metz,Odawara,Mestizo,Egirls
Hebei	Delhi,Yemen,Sendai,Berbers,Metz,H EP,MeeGo,Berlin,Busan,Yanan,Nampo,Sammir,Naha,Tigris,Quito,Mestizo,Oregon,Armenia,Maebashi,Zenica,Zhu Xi,Nevada,Lyon,Celeron,Haarlem,Goa,Kaká,Ovid,Hitachi,Xiaomi,Esbjerg,EXID,Bird,Belize,AWK,ABBA,Linux,TVBS,SDN48,NTV7,Maxis,VIXX,Clang,SS501,IOS,BASIC,GNU,Suzhou,Guangxi,Yunnan,Jining,Madrid,Brazil,Paris,Croatia,Lu Xun,Kashiwa,Belfast,Monaco,Corsier,AlQaeda,Shueisha,Palencia,Camellia,Astana,SimCity,FC Goa,Chicken,McLaren,FC Metz,Pauleta,Heartful,Qantas,Cinemax,OneDrive,OpenJDK,Egirls,Luo Gan,Tuo Zhen,Mao Fumei,Hu Jintao,Liu Jian,Gujarat,Belgrade,Bulgaria,Budapest,Sakhalin,Lethbridge,Valencian,Yang Xu,Katowice,Cameroon,Cao Cao,Leessang,Bashkirs,Setagaya,Punjabis,Odawara,Clojure,Hebei
Indonesian	Zhongshan,Iron Man,Valencian,IPhone 5S,Inuyasha,Cantonese,Pakistan,Armenia,Croatia,Madagascar,Yunnan,Busan,Budapest,Botswana,Palencia,Yanan,Leessang,Ordos City,Corsier,Luo Gan,Cinemax,TVBSAsia,Pyongyang,Liu Jian,Yan Xishan,Illinois,Bulgaria,Mestizo,Cameroon,Oregon,Hebei,Li Keqiang,Monaco,Yemen,Zenica,Goa,Americas,Chicken,Brooklyn,Yokohama,Camellia,AlQaeda,Belize,Katowice,Guangxi,Gelderland,Astana,Animax Asia,Modula2,Sendai,Wind song,AC Omonia,Lyon,Jining,Tong Liya,Shropshire,Wilber Pan,Sakhalin,Ich will,Pauleta,Fool Again,McLaren,Donnie Yen,John Sherman,Rainie Yang,Confignon,Xiaomi,Alan Sheehan,Celeron,Thuringia,Moon EP,Shueisha,Carl Levin,Qantas,Jahangir,Pope Mark,Odawara,Miloš Zeman,Andi Herzog,Tuo Zhen,Ingrid Bergman,Zhang Wentian,Cao Cao,OneDrive,Ron Wyden,Montesquieu,Li Ruihuan,Lin Fengjiao,Chrome OS,Chromecast,Akhenaten,Xu Xiangqian,West Java,Shanghai,Madrid,Berlin,Berbers,Punjabis,Gujarat,Indonesian language
President of the European Council	President of Germany 191945,Swiss Federal Council,Prudente de Morais,Even If Ken Hirai song,President of the Legislative Council of Hong Kong,George IV of the United Kingdom,Order of Australia,Monarchy of the United Kingdom,List of Portuguese monarchs,Pedro I of Brazil,Kara South Korean band,Pasadena California,Huangchuan County,Prime Minister of Slovenia,House of Hohenzollern,Party of Labour of Albania,Amintore Fanfani,List of parishes in Louisiana,Kingdom of Yugoslavia,Latvian Higher League,201415 UEFA Europa League,Rise of Nations,Philip II of Macedon,Republic of Korea Navy,Like a Virgin song,Shire of Winton,The Siren song,University of Texas at Austin,Western Yugur language,Manco Inca Yupanqui,Dream of Love Adventure Time,Pier Luigi Bersani,Northern California,Pietro Badoglio,Peter Crouch,Hachinohe Aomori,Deportivo de La Coruña,Viktor Chernomyrdin,Friends season 7,Carlos Adriano de Sousa Cruz,Vlatko Grozdanoski,Prime Minister of Yemen,Mayor of New Taipei,201213 UEFA Europa League,Party of Regions,The Republicans France,List of counties in Arizona,Republic of Crimea,Kingdom of England,National Front France,Pope Stephen I,Queen Noor of Jordan,University of Florence,Republic of Genoa,University of Liverpool,London Underground,Kingdom of Sicily,Communist Party of Cuba,University of Turin,Pope Urban III,United States Virgin Islands,United Left Spain,Syrian Armed Forces,Banastre Tarleton,French Polynesia,Love Across the Ocean,Édith Cresson,Leiden University,Aksel V Johannesen,Otto Grotewohl,OccitanoRomance languages,George Papandreou,Indian Super League,Cristiano Zanetti,TibetoBurman languages,Yellow Coldplay song,Perfume Japanese band,Mountain View California,Redwood City California,Southern Tang,Taipei Metro Line 5,Palm Desert California,Prince Fushimi Hiroyasu,Reinaldo Elias da Costa,Adiel de Oliveira Amorim,Soekiman Wirjosandjojo,Pratt  Whitney JT9D,Chancellor of Germany,House of Vasa,Occupation of Japan,Prince Nikolai of Denmark,Clement Attlee,Saint Barthélemy,Albert II of Belgium,Pope John XXI,Umberto II of Italy,Albanian Armed Forces,Democratic Party Mongolia,Netherlands Antilles,President of the European Council
Golden Gale	Gelderland,Wilber Pan,Palencia,Pope Mark,Valencian,Rolling Star,Gossip Candy,So Girls,Moon EP,Marion Raven,Tomer Hemed,Luo Gan,Southern Tang,Goa,Zenica,Modula2,Gerd Müller,Manuel Valls,Yao people,Armenia,Bob Carr,Belgrade,Sendai,The Hague,Monaco,Gordon Sprigg,Robbie Keane,Ron Wyden,Iron Man,Akhenaten,Sunny Hill,Wind song,Leessang,TRAX band,Over Load,Fool Again,Cinemax,Good Charlotte,Ich will,Tong Liya,Setagaya,Yanan,Lollipop F,Ledley King,Pauleta,Michael Bay,FC Goa,MeeGo,Camellia,Drake rapper,OneDrive,Carl Valeri,Soft rock,Rainie Yang,Club Atlas,Game Center,North Sea,Sven Bender,Malice Mizer,Yokohama,Apple Watch,AlQaeda,Blake Ross,Hakan Yakin,West Java,Clang,Clojure,Émile Borel,Gary Locke,Ordos City,Ranger 6,Ranger 2,Milan Susak,Shueisha,Ched Evans,Celeron,Guo Jinlong,Wally West,Avex Trax,BBC One,Americas,Roger Wicker,Nintendo DS,Voyager 2,Belize,Gujarat,Piedra Spain,Donnie Yen,Astana,French Navy,Boeing 747,OpenJDK,Harold Urey,Botswana,Yunnan,Conan OBrien,House of Vasa,Löfven Cabinet,Nevada,Gold Typhoon
