Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Pierre Werner	Pierre Werner,Jerry Weller,Sierra Leone,Mark Warner,John Warner,Olene Walker,Bram Peper,Werner Hoyer,Jerry Moran,Michel Barnier,Michel Mercier,Peter Welch,Pietro Lunardi,Jerry Lewis,Dean Heller,Pedro Solbes,Sherry Rehman,George Weah,Jerry Brown,Gerd Leers,Steve Daines,Per Unckel,Piet Hein Donner,Ilse Aigner,Cape Verde,Pete Peterson,Mike Crapo,Marek Jurek,Rick Larsen,Bill Ritter,Paul Reeves,Gabriel Oprea,Noel Davern,Duncan Kerr,Eiki Nestor,Patrick Ollier,Alain Berset,Pedro Carmona,Bernd Lange,Greg Walden,Charlie Baker,Thierry Mariani,Jay Carney,Chris Huhne,Tom Carper,Eric Holder,Arlene Foster,Al Green,Yves Leterme,Leszek Miller
Mary Fallin	Mary Fallin,Marat Tajin,Mark Dayton,Marie Bashir,Mary Landrieu,Mark Binskin,Paul Martin,Mark Warner,Michael Fallon,Hans Hillen,Mart Laar,Yuriy Ilyin,Sanna Marin,Ed Balls,Mary McAleese,Port Said,Mark Rutte,Jane Harman,Tanja Fajon,Ben Cardin,Jerry Weller,Jay Carney,Mark Kirk,Norm Kelly,Gary Locke,Rand Paul,Alain Madelin,Mark Pryor,Greg Walden,Yair Lapid,Jack Layton,Dave Weldon,Manuel Valls,Marco Maciel,Carlos Slim,Hans Blix,Buryatia,Meir Dagan,Tony Blair,Marion Barry,Mauritania,Kate Brown,Marisa Matias,Martha McSally,Susan Collins,Satya Nadella,Jim Molan,Alice Rivlin,Kirk Fordice,John Dawkins
Krzysztof Kwiatkowski	Krzysztof Kwiatkowski,Lisa Murkowski,Mieczys%C5%82aw Rakowski,Ryszard Kalisz,Barbara Mikulski,Viktor Khristenko,Umberto Bossi,Ted Kulongoski,Gaston Flosse,Christian Estrosi,Kostas Karamanlis,Arsen Avakov,Ernesto Samper,Front for Victory,Jaros%C5%82aw Kalinowski,Jan Olszewski,Franz Vranitzky,Grigory Yavlinsky,Giuliano Amato,Marko Mihkelson,Kirsten Gillibrand,Natascha Kampusch,Kiro Gligorov,Sotirios Hatzigakis,Brian Mikkelsen,Yuriy Kravchenko,Ashraf Ghani,Gerrit Braks,Luciano Pavarotti,Ignazio Cassis,Berkshire Hathaway,Giorgos Kaminis,Greta Garbo,Dov Shilansky,Tarcisio Bertone,Fulvio Rossi,Victor Ciorbea,Keiko Fujimori,Alberto Fujimori,Agust%C3%ADn Rossi,Norodom Sihanouk,Khosrov Harutyunyan,Lamberto Dini,Anil Kakodkar,Marisa Matias,Kristina Keneally,Norodom Sihamoni,Kaushik Basu,Igor Klimov,Herbert Kickl
Gabor Vona	Taro Kono,Gabon,G%C3%A1bor Vona,Victor Ponta,Gazprom,Napoleon,Jan Pronk,Omar Bongo,Paul Biya,Don Young,Nuon Chea,Bob Dole,Dipu Moni,Gary Locke,Kit Bond,Aamir Khan,Robin Cook,Catalonia,Gibraltar,Comoros,Sardinia,Alexandr Vondra,Mart Laar,Babacar Gaye,Kadima,Jan Kohout,Jaume Matas,Gabriel Oprea,Rein Lang,Javier Solana,David Libai,Lazard,Abu Darda,Edi Rama,Yash Ghai,Paul Tsongas,Gabi Zimmer,Sam Johnson,George Weah,Tanja Fajon,Dan Burton,Yair Lapid,Kenji Goto,Bill Young,Dan Tichon,Dan Boren,David Ige,Paul Ryan,Anson Chan,Jim Molan
Elizabeth II	Elizabeth II,Elizabeth Dole,Eliane Karp,Vietnam,Eli Lilly,Ali Abbasov,Eswatini,Eli Suissa,Eritrea,Milan Uhde,Eliot Engel,Fidesz,Forza Italia,Mozambique,Al-Riyadh SC,Ed van Thijn,Israel,Estonia,Slovakia,Taiwan,Wales,Ed Balls,Latvia,Madeira,Allan Rock,Smile,Theresa May,Al Green,Hezbollah,Airbus,Meretz,Emma Bonino,Eiki Nestor,Napoleon,Salman Khan,Edi Rama,Eric Holder,Kongsberg,Gibraltar,Julie Bishop,Ernie Fletcher,Libya,Oliver Letwin,Lazard,David Ige,Suriname,Uri Rosenthal,Al Gore,Gabon,Tzipi Livni
Yoani Sánchez	Yoani S%C3%A1nchez,Jean Spautz,Frank Jensen,Roland Koch,Dan Tichon,Heinz Fischer,Yves Cochet,Frank Swaelen,John Linder,Holy See,Rick Boucher,Jean Schmidt,Tim Fischer,R. P. Singh,France,Gary Locke,Tom Steyer,John Warner,V. P. Singh,Ernie Fletcher,Arne Duncan,Peter Hintze,Dean Heller,Jang Song-thaek,Per Unckel,John Key,Bob Menendez,Roman Herzog,Hans Hillen,Nuon Chea,Tony Blair,Yash Ghai,Dan Boren,Joachim Gauck,Gabi Zimmer,John Sarbanes,Bernd Lange,Ian Paisley,Jon Tester,Sonny Perdue,Pavel Grachev,John Boehner,Bogdan Klich,Donna Shalala,Ron Wyden,Lee Kun-hee,Kevin Spacey,Tsai Ing-wen,Spain,Cape Verde
Alice Rivlin	Alice Rivlin,Reuven Rivlin,Oliver Letwin,Alain Madelin,Joyce Quin,Eli Lilly,Tzipi Livni,Allan Rock,Mike Simpson,Ivan Rybkin,Jim Molan,Julie Bishop,Al Green,Arne Duncan,Jim Risch,Vlad Filat,Mary Fallin,Ilse Aigner,Anne Hidalgo,Bill Ritter,Hans Hillen,Guido Carli,Vince Cable,Siiri Oviir,Nicole Ameline,Rick Larsen,Albio Sires,Sicily,Fine Gael,Dick Spring,Idi Amin,Grace Kelly,United Russia,Edi Rama,Arlene Foster,David Libai,Ben Cardin,Eliane Karp,Anne McLellan,Mark Binskin,David Dinkins,EH Bildu,Eliot Spitzer,Eric Cantor,Meir Dagan,Eliot Engel,Le Point,Marie Bashir,Dan Tichon,Pascal Canfin
Council of Europe	Council of Europe,Church of Greece,Claudio Huepe,Marcelo Ebrard,Tarcisio Bertone,Francis Maude,Maurizio Lupi,Douglas Hurd,Comoros,Bank of America,Santiago Creel,Holy See,Lincoln Chafee,Longin Pastusiak,Duncan Kerr,Jeune Afrique,United Russia,Guido Carli,Chris Murphy,Bruce George,Chuck Robb,Angelo Scola,Julie Bishop,Rodrigo Rato,Monika Harms,Louise Arbour,Sonny Perdue,Chris Huhne,John Kufuor,John E. Sununu,Gilles Duceppe,Candice Bergen,Chantal Jouanno,Connie Morella,Connie Mack IV,Connie Hedegaard,David L. Aaron,Poul Nielson,Connie Mack III,Bruno Le Maire,Cape Verde,Montenegro,Jordi Turull,Burkina Faso,Donald M. Payne,Honduras,Spanish Army,Puerto Rico,Hassan II of Morocco,South Korea
Victor Ciorbea	Victor Ciorbea,Victor Ponta,Peter Hintze,Viktor Basargin,South Korea,Joe Crowley,Pedro Solbes,Vittorio Grilli,Walter Momper,Rick Larsen,Richard Caborn,Vince Cable,Javier Solana,Tom Carper,Gaston Flosse,Vitaly Churkin,Viktor Stepanov,Albio Sires,Nuon Chea,Viktor Pynzenyk,Eritrea,Bill Shorten,Simon Coveney,Lithuania,Rick Boucher,Estonia,Lionel Bowen,William Cohen,Pierre Werner,Dick Marty,Norm Coleman,Tim Fischer,Renato Soru,Peter Cosgrove,Eric Holder,Dick Celeste,Bruce George,Pedro Carmona,Jim Doyle,Bill Ritter,Jay Carney,Dick Spring,Mike Crapo,Guido Carli,Tim Holden,Gwen Moore,Dieter Althaus,Jacques Chirac,Lothar Bisky,Rick Scott
Kenji Goto	Kenji Goto,Renato Soru,Taro Kono,Henrik,Ken Starr,Ted Poe,Kit Bond,Al Gore,Avijit Roy,Benin,Tanja Fajon,Kevin Rudd,PepsiCo,Henk Kamp,Lesotho,Fine Gael,Tajikistan,Montenegro,Le Point,Meretz,Rein Lang,Eiki Nestor,Belgium,Allan Rock,Dan Burton,Edi Rama,Don Young,Jerry Moran,Rand Paul,Rick Scott,Bill Gates,Jean Spautz,Kevin Brady,Dan Tichon,Chuck Robb,Senegal,Gwen Moore,Beppe Grillo,Ben Cardin,Puerto Rico,Leonid Gozman,Kate Brown,Robin Cook,Jerry Brown,Dipu Moni,Cisco,Dan Boren,Jan Kohout,Jan Pronk,Rodrigo Rato
Cristina Garmendia	Cristina Garmendia,Christina Romer,Kristina Keneally,Kristiina Ojuland,Corina Casanova,Christine Albanel,Christine Egerszegi,Eric Garcetti,Irina Yarovaya,Susana Martinez,Christine Haderthauer,Christian Estrosi,Greta Garbo,Justin Trudeau,Kostas Karamanlis,Susana Malcorra,Marisa Matias,Mario Barletta,Curtis Scaparrotti,Pedro Carmona,Connie Morella,Thierry Mariani,Satya Nadella,Monika Harms,Neritan Ceka,Gresham Barrett,Taslima Nasrin,Sanna Marin,Prem Tinsulanonda,Cantabria,Zviad Gamsakhurdia,Tulsi Gabbard,Ben Cardin,Jane Harman,Chris Grayling,Brian Cowen,Candice Bergen,Alain Madelin,Catalonia,Rick Larsen,Aosta Valley,Scott Garrett,Eritrea,Central America,Fine Gael,Giorgos Kaminis,Gerasimos Arsenis,Elena Salgado,Kristina Schr%C3%B6der,Ana Palacio
Carlos Alberto Tévez	Carlos Tevez,Carlos Menem,Carlos Santana,Carlos Slim,Carlos Rodado Noriega,Tarcisio Bertone,Pavlos Geroulanos,Carlos Holmes Trujillo,Carlo Azeglio Ciampi,Mario Blejer,Lamberto Dini,Carla Del Ponte,Norbert Hofer,Lars Barfoed,Carol Moseley Braun,Joris Voorhoeve,Carlos Lemos Simmonds,Celso Lafer,Umberto Bossi,Paolo Gentiloni,Ralph Eberhart,Ali Abbasov,Gaston Flosse,Albio Sires,James Florio,Ernie Fletcher,Alu Alkhanov,Odilo Scherer,Charlie Baker,Marine Le Pen,Lamar Alexander,Douglas Alexander,Marcus Stephen,Earl Blumenauer,Gilles de Robien,Herbert Kickl,Paul Reeves,Elizabeth Dole,Tanya Plibersek,Kiro Gligorov,Marilyn Musgrave,Carolyn McCarthy,Vagit Alekperov,Phil Robertson,Mary McAleese,James Arbuthnot,Serhiy Arbuzov,Marco Maciel,Alberto Fujimori,Sergio Diez
Kadima	Kadima,Madeira,Madrid,Taiwan,Sardinia,Latvia,Nokia,Nokia,Audi,Guyana,Fidesz,Russia,Romania,Pakistan,Spain,Nauru,Sicily,Smile,Wales,Boeing,Benin,Edi Rama,Sufism,Lazard,Tatars,Guam,Libya,Gabon,Fiji,Tuva,Israel,Honduras,Iran,Greece,Palau,IBM,Ukraine,Bulgaria,Vietnam,Estonia,Slovakia,Belgium,Meretz,Henrik,UNICEF,Senegal,Sony,Google,France,Cisco
Susana Martinez	Susana Martinez,Susana Malcorra,Sanna Marin,Susan Collins,Paul Martin,Marisa Matias,Jane Harman,John Sarbanes,Ben Cardin,Jay Carney,John Warner,Mark Warner,Steve Daines,Dan Burton,Mary Fallin,Juan Lozano,Sergio Diez,Iliana Iotova,Tanja Fajon,Pasqual Maragall,Marco Maciel,Taslima Nasrin,Guido Carli,Irina Yarovaya,Jean Spautz,Chelsea Manning,Sheikh Hasina,Alain Madelin,Michel Mercier,Eliane Karp,Murtaza Rakhimov,Eswatini,Michel Barnier,Marat Tajin,Redha Malek,Law and Justice,Mark Dayton,Srgjan Kerim,Roscoe Bartlett,Yuval Steinitz,Shaul Mofaz,Simon Coveney,John Dawkins,Chiang Kai-shek,Dick Marty,Ivan Safronov,Rumen Radev,Jan Pronk,Jack Markell,Dan Boren
Secretary of State for International Development	Secretary of State for International Development,Secretary of State for Justice,Secretary of State for Levelling Up, Housing and Communities,Party of the Democratic Revolution,Secretary of state,Director of National Intelligence,Amnesty International,Yerevan State University,Security Service of Ukraine,New York City Police Department,Monarchy of the United Kingdom,International Monetary Fund,Inter-American Development Bank,Order of the Holy Sepulchre,Shanghai Cooperation Organisation,International Criminal Court,Seoul National University,United States Virgin Islands,Syrian Social Nationalist Party,Oskar Lafontaine,Moscow State University,Abdullah of Saudi Arabia,Frank-Walter Steinmeier,Sovereign Military Order of Malta,Miriam Defensor Santiago,African National Congress,Central Intelligence Agency,The People of Freedom,International Olympic Committee,Pontifical Catholic University of Chile,University of Buenos Aires,Socialists%27 Party of Catalonia,Saint Vincent and the Grenadines,Sergey Mikhaylovich Ignatyev,Indian National Congress,Central European University,Movement for France,Jean Corston, Baroness Corston,Liberal Democracy of Slovenia,Hungarian Democratic Forum,Carlos Santana,Swraj Paul, Baron Paul,Bucharest Academy of Economic Studies,Carlos Holmes Trujillo,Melanie Schultz van Haegen,Austrian Academy of Sciences,Michael Boyce, Baron Boyce,University of the Philippines,Bruno Stagno Ugarte,University of Waterloo
Norbert Blüm	Norbert Hofer,Norbert Bl%C3%BCm,Norbert Lammert,Herbert Kickl,Umberto Bossi,Gerrit Zalm,Lamberto Dini,Robert Mugabe,Norm Kelly,Novartis,Carlos Slim,Port Said,Gerald Klug,Hans Blix,Werner Hoyer,George Shultz,Robert Zoellick,Bob Dole,Norm Coleman,Ernest Moniz,George Weah,Bob Graham,Morris Iemma,Piet Bukman,Gerrit Braks,Mart Laar,Jerry Brown,Borut Pahor,Robin Cook,Peronism,Bob Taft,Joyce Quin,Narendra Modi,Meretz,Josef Lux,Violeta Bulc,Peter Welch,Forza Italia,Kit Bond,Darrell Issa,Joe Crowley,Neritan Ceka,Puerto Rico,Adobe Inc.,Lothar Bisky,Gerd Leers,Hartmut Bagger,Douglas Hurd,John Brumby,Moshe Arens
Francis Maude	Francis Maude,France,Joachim Gauck,French Navy,Frank Jensen,Vince Cable,Rand Paul,Sanna Marin,Spanish Navy,Frank Swaelen,Marco Maciel,French Army,Bruno Le Maire,Finns Party,Cape Verde,Pakistan,Arab League,Gwen Moore,Johannes Hahn,Charlie Baker,Greg Walden,Nancy Pelosi,David Ige,Ernest Moniz,Eric Holder,Jean Spautz,Hans Hillen,Babacar Gaye,Claudio Huepe,Milan Uhde,Grace Kelly,Jack Markell,Emmanuel Macron,Dick Marty,Theresa May,Spanish Army,Paulo Maluf,Kevin Rudd,Patrick Mayhew,France Cukjati,Lionsgate,Erwin Huber,Jaume Matas,Chris Huhne,Luis Cruz,Gianni Letta,Alain Madelin,Tanja Fajon,Marisa Matias,Bernd Lange
Dimitrios Grapsas	Dimitrios Grapsas,Dimitrios Droutsas,Dimitris Sioufas,Dimitrij Rupel,Vittorio Grilli,Giorgos Kaminis,Alexis Tsipras,Demetris Christofias,Ignazio Cassis,Marisa Matias,Giancarlo Galan,Richard Branson,Chris Grayling,Dmitry Livanov,Bob Graham,Gerrit Braks,Dmitry Mezentsev,Giannis Ragousis,Antonis Samaras,Anastasios Peponis,Gerasimos Arsenis,Sotirios Hatzigakis,Victor Ponta,Tibor Navracsics,Vitaliy Masol,Mike Crapo,Davit Bakradze,Filippo Mancuso,Pietro Lunardi,Wangari Maathai,Siiri Oviir,Ahmed Galal,Jim Ramstad,Yair Lapid,Darrell Issa,Alastair Goodlad,Terry Branstad,Catherine Tasca,Patrick Mayhew,Dieter Althaus,Margaritis Schinas,Morris Iemma,Didier Burkhalter,Steve Bracks,Umberto Bossi,Chris Murphy,Jyoti Basu,Doris Leuthard,Bill Gates,Quamrul Hassan
Peter Polt	Peter Welch,Peter Wittig,Peter Hintze,Peter Phillips,Victor Ponta,Le Point,Ted Poe,P%C3%A9ter Polt,Peter Cosgrove,Peter DeFazio,Pedro Solbes,Kate Brown,Kit Bond,Kenji Goto,Werner Hoyer,Bob Dole,Senegal,PepsiCo,Peronism,Microsoft,Josef Lux,Henrik,Netherlands,Jan Kohout,Walter Momper,Meretz,Rein Lang,Jan Pronk,Pete Peterson,Per Unckel,Steven Chu,Vlad Filat,Robin Cook,Alfred Sant,Allan Rock,Dieter Althaus,Paulo Maluf,Jerry Moran,Paul Ryan,Jim Molan,Yves Cochet,Howard Coble,Paul Biya,Els Borst,Dipu Moni,Renato Soru,Liese Prokop,Andrew Powell,Angelo Scola,Ahmed Galal
Arnold Schwarzenegger	Arnold Schwarzenegger,Karel Schwarzenberg,Rudolf Scharping,Arnold Koller,Odilo Scherer,Lord Chancellor,John Warner,Anand Satyanand,Frank Swaelen,Bernd Lange,Donald M. Payne,Lincoln Chafee,John Sarbanes,Bill Shorten,Michael Spindelegger,Allyson Schwartz,Alfredo Barnechea,Hanja Maij-Weggen,Eduard Shevardnadze,Holy See,Arab League,Alfred Sant,Al Green,Hugo Banzer,Anson Chan,Angela Merkel,Ernesto Samper,Rudolf Seiters,Tom Steyer,Ken Starr,Mark Warner,Manfred Kanther,Hartmut Bagger,Arkady Rotenberg,Anders Samuelsen,Andrew Lansley,Michel Barnier,Ernie Fletcher,Joseph Prueher,Eliot Spitzer,Tom Carper,Arne Duncan,Hugo Swire,Urho Kekkonen,Angelo Scola,Edward Snowden,Anil Kakodkar,Bob Menendez,Karl Schl%C3%B6gl,David Dreier
Mohammad Reza Pahlavi	Mohammad Reza Pahlavi,Mohammad Beheshti,Mohammad-Ali Rajai,Mohammad Hamid Ansari,Muhammad Habibur Rahman,Muammar Gaddafi,Loyola de Palacio,Giampaolo Di Paola,Hassan Rouhani,Hamid Karzai,Umar Dzhabrailov,Akhmad Kadyrov,Morgan Tsvangirai,Maria Elena Boschi,Ahmed Galal,Donna Shalala,Rehavam Ze%27evi,Johannes Hahn,Moderate Party,Donald M. Payne,Mehdi Bazargan,Jalaluddin Haqqani,Ashraf Ghani,Fareed Zakaria,Murtaza Rakhimov,Khaleda Zia,Osama bin Laden,Liaquat Ali Khan,Salman Khan,Mahathir Mohamad,Sahabzada Yaqub Khan,Ramzan Kadyrov,Marisa Matias,Moza bint Nasser,Wangari Maathai,Dariga Nazarbayeva,Charles Pasqua,Shankar Dayal Sharma,Giancarlo Galan,Manuel Valls,Anand Satyanand,Valentin Pavlov,Sherry Rehman,Thad Cochran,Makiko Tanaka,Jaume Matas,James Langevin,Michael Fallon,Corina Casanova,Mikhail Margelov
Pawel Kukiz	Pawe%C5%82 Kukiz,Pavel Tigrid,Marek Jurek,Harald Kujat,Piet Bukman,Paul Biya,Tariq Aziz,Paul Ryan,Paul Martin,Paul Simon,Palau,Jelko Kacin,Hans Blix,Erwin Huber,Wim Kok,Shaul Mofaz,Yair Lapid,Peter Wittig,Per Unckel,Samuel Schmid,Yash Ghai,Pavel Grachev,Mark Rutte,Yahya Khan,Taro Kono,Anke Fuchs,Josef Lux,James Florio,Paulo Maluf,Mark Kirk,Ernest Moniz,Paul Reeves,Peter Welch,Pavel Astakhov,Gwen Moore,Sanna Marin,Todd Akin,Marat Tajin,Manuel Valls,Nigel Evans,Aamir Khan,Kate Brown,Patty Murray,Pascal Canfin,Sajid Javid,Catalonia,Joyce Quin,Grace Kelly,Port Said,Jan Kohout
Vladimir Markin	Vladimir Markin,Vladimir Voronin,Vladimir Kozhin,Vladimir Yegorov,Paul Martin,Alain Madelin,Sanna Marin,Vlad Filat,Yair Lapid,Taslima Nasrin,Volodymyr Lytvyn,Oliver Letwin,Aamir Khan,Hamid Karzai,Ivan Rybkin,Viktor Basargin,Vitaly Churkin,Vitaliy Masol,Ben Cardin,Karim Massimov,Dick Marty,Valdis Birkavs,Mary Fallin,Jack Markell,Rick Larsen,Kadima,Thierry Mariani,David Dinkins,Marie Bashir,Chaim Herzog,Ludwik Dorn,Guido Carli,Francis Maude,Jim Saxton,Marat Tajin,Marisa Matias,Alain Berset,Mehdi Bazargan,Eliane Karp,Alice Rivlin,Jaume Matas,Jim Molan,Todd Akin,Jane Harman,Charlie Baker,Idi Amin,Sajid Javid,Pascal Canfin,Marion Barry,Amr Waked
Kristina Keneally	Kristina Keneally,Kristiina Ojuland,Christina Romer,Cristina Garmendia,Grace Kelly,Raymond Kelly,Christine Albanel,Martha McSally,Aosta Valley,Norm Kelly,Kevin Brady,Neritan Ceka,Satya Nadella,Christine Egerszegi,Kiran Desai,Enda Kenny,Justin Trudeau,Kevin Spacey,Arvind Kejriwal,Marion Barry,Burkina Faso,Theresa May,Lithuania,Melissa Bean,Angela Merkel,Monica Lewinsky,Robert J. Bentley,Sally Jewell,Frank Jensen,Arne Duncan,Eliane Karp,Vince Cable,Devin Nunes,Rebiya Kadeer,Uri Rosenthal,Katy Perry,John Key,South Korea,Victor Ponta,Marietta Giannakou,Brian Cowen,Sierra Leone,Kit Bond,Marisa Matias,Connie Morella,Simon Coveney,Giuseppe Bertello,Irina Yarovaya,Eli Lilly,Donna Shalala
New Democratic Party	New Democratic Party,Moderate Party,Justicialist Party,Israeli Labor Party,Democratic Unionist Party,Ulster Unionist Party,Hungarian Democratic Forum,Electronic Arts,Dick Marty,Rebecca Harms,Finns Party,Associated Press,Front for Victory,Solomon Passy,Secretary of state,Katy Perry,Leo Varadkar,Borut Pahor,Netherlands,Ivor Richard,Brazilian Socialist Party,Theresa May,Port Said,Bharatiya Janata Party,Norbert Lammert,Le Point,French Navy,French Army,Neritan Ceka,C. Boyden Gray,Law and Justice,Renato Soru,Carolyn McCarthy,Eric Cantor,General Motors,Marat Tajin,Norm Kelly,Duncan Kerr,Marion Barry,Herbert Kickl,Ken Starr,United Nations,Victor Ponta,Jyoti Basu,Noel Davern,Raymond Barre,Rodrigo Rato,Federico Lombardi,Dimitrij Rupel,Jeb Hensarling
Patricia Scotland	Patricia Scotland,Javier Solana,Patrick Hillery,Patrick Ollier,Rick Scott,Carlos Santana,Marisa Matias,Tajikistan,Mathias Cormann,Patrick Mayhew,Pakistan,Port Said,Marcus Stephen,Pat Buchanan,Margaritis Schinas,Harrison Ford,Jim Molan,Patrick M. Hughes,Daniel Scioli,Stephen Solarz,Eric Holder,Pedro Solbes,Doris Leuthard,Martha McSally,Kristiina Ojuland,Iceland,Angelo Scola,Tarcisio Bertone,Mauritania,African Union,Alastair Goodlad,Ruprecht Polenz,Adrian Smith,Melissa Bean,Catalonia,Kate Brown,Alfred Sant,Patty Murray,Theresa May,Sierra Leone,Catherine Ashton,Jerry Moran,Satya Nadella,Barney Frank,Gabriel Oprea,Karen Ellemann,Dick Spring,Pascal Canfin,Mark Dayton,Marcelo Ebrard
Ruth Dreifuss	Ruth Dreifuss,Rush Limbaugh,David Dreier,Moshe Arens,Russ Feingold,Rudolf Seiters,Ron DeSantis,Luis Cruz,Roh Tae-woo,South Korea,Edith Schippers,Yuval Steinitz,Rosa Aguilar,John Dawkins,Rudy Giuliani,Peter DeFazio,John Kufuor,Hage Geingob,Yash Ghai,Hu Jintao,Ralph Eberhart,Steve Daines,Hugo Swire,Gough Whitlam,Gerd Leers,Elon Musk,Eli Suissa,Yury Chaika,Pope Francis,Kate Brown,Jeune Afrique,Rand Paul,Geoff Davis,Katy Perry,South Sudan,Lucy Turnbull,L%27Express,TotalEnergies,Pete Peterson,Jim Prentice,Rob Andrews,Paul Reeves,Suriname,Nuon Chea,Novartis,Sufism,Al Green,Omar Torrijos,Mauritius,Tatars
Yves Leterme	Yves Leterme,Yves Cochet,Gerd Leers,Joe Lieberman,Cape Verde,Arab League,Bram Peper,Gwen Moore,Dick Celeste,Pete Peterson,Noel Davern,Ken Starr,Celso Lafer,Yury Luzhkov,Oliver Letwin,Jon Tester,Holy See,Jacques Delors,Pierre Werner,Vietnam,Greece,Peter Hintze,Paul Reeves,Gilles Duceppe,Meretz,Eiki Nestor,Gary Locke,Rick Larsen,David Vitter,Mark Rutte,Chet Edwards,Dean Heller,Jack Lew,Mart Laar,Doris Leuthard,Danny Pieters,Tom Steyer,James Langevin,Luis Cruz,Ted Poe,Bruce George,Bill Gates,Hugo Swire,Fleur Pellerin,Boris Nemtsov,James Florio,Bill Ritter,Gavin Newsom,French Army,Fidel Castro
Jan Olszewski	Jan Olszewski,Jan Pronk,Jean Charest,Jon Tester,Lisa Murkowski,Ted Kulongoski,Jan Kohout,Jean Asselborn,Jack Lew,Ian Paisley,Tanya Plibersek,Daniel Scioli,Juan Lozano,Gavin Newsom,Dan Boren,Jay Carney,Rob Andrews,Kiran Desai,Wales,John Boehner,Jim Risch,Ehud Olmert,John Linder,Dov Shilansky,Elon Musk,Brian Mikkelsen,Ron Wyden,John Dawkins,Don Manzullo,Joe Lieberman,Ivan Kyrylenko,Darrell Issa,Danny Pieters,Manuel Valls,Dale Bumpers,Hans Blix,Jack Markell,Hanno Pevkur,Karen Ellemann,Hans Hillen,Gun Hellsvik,John Abizaid,John Warner,Jay Weatherill,Alain Berset,Ivan Rybkin,Denny Tamaki,Ahn Cheol-soo,James Florio,Jane Harman
Dennis Daugaard	Dennis Daugaard,Doris Leuthard,Connie Hedegaard,Denny Tamaki,Meir Dagan,Tulsi Gabbard,Leonid Kozhara,Lucien Bouchard,Francis Maude,Renaud Dutreil,Douglas Hurd,Jens Weidmann,Jim Ramstad,Werner Faymann,Leonid Gozman,David Dreier,Rein Lang,Bernd Lange,Danny Pieters,Davit Bakradze,Anil Kakodkar,Anand Satyanand,Ken Starr,Elena Salgado,Giannis Ragousis,Melissa Bean,Dean Heller,Devin Nunes,Arne Duncan,Donna Shalala,Connie Mack III,Connie Mack IV,Kevin Rudd,Antonis Samaras,Finns Party,Gilles Duceppe,George Habash,John Dawkins,Noel Davern,Peter DeFazio,Lars Barfoed,John Sarbanes,John Abizaid,Glenn Greenwald,Gerald Klug,Terry Branstad,Bruno Le Maire,Geoff Davis,Lazard,Jean Spautz
Josep Piqué i Camps	Josep Piqu%C3%A9,Joseph Prueher,Joseph Muscat,Joseph Stalin,Josef Pr%C3%B6ll,Josef Lux,Joseph Ki-Zerbo,Joel Villanueva,Joseph Estrada,Peter Phillips,Joe Lieberman,Rosa Aguilar,Joseph Stiglitz,Josef P%C3%BChringer,Jaume Matas,Jacqueline Cramer,Henk Kamp,Tarek William Saab,Bojan Pajti%C4%87,Jorge Illueca,John Sarbanes,John Abizaid,Monika Harms,John Brumby,Joyce Quin,Gerrit Braks,John Dawkins,Jussi Niinist%C3%B6,Jeff Bingaman,Robin Hayes,Rudy Giuliani,Alexis Tsipras,Pope Francis,Gough Whitlam,Robert E. Cramer,Rosen Plevneliev,Joachim Gauck,Carlo Azeglio Ciampi,Justicialist Party,Le Point,Willy Claes,Neritan Ceka,Edi Rama,Jean Spautz,Jos%C3%A9 Alencar,The Bahamas,Liese Prokop,Paulo Maluf,Jos%C3%A9 Bono,Paul Biya
William Luther Pierce	William Luther Pierce,William Rehnquist,William Cohen,Wilhelm Molterer,Julius Nyerere,Bill Shorten,Bill Ritter,Jim Prentice,Marine Le Pen,Odilo Scherer,Carla Del Ponte,Gilles Duceppe,Michel Mercier,Vilnius University,Allan H. Meltzer,Tom Steyer,Wolfgang Gerhardt,Milan Uhde,Bill Richardson,Peter Welch,Jay Weatherill,Bill Gates,Kirk Fordice,Walter Momper,Wolfgang Ischinger,Bram Peper,Elizabeth Dole,Pietro Lunardi,Willy Claes,Mitch Landrieu,Melchior Wathelet,Bill Bradley,Nikolai Levichev,Claudio Huepe,Pierre Werner,Wolfgang Tiefensee,David Dreier,Doris Leuthard,Guusje ter Horst,Bruno Le Maire,Katy Perry,Walter Kasper,Victor Ciorbea,Yves Leterme,Michel Barnier,Alain Berset,Waseda University,Sierra Leone,Eliane Karp,Paymaster General
