Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Ernie Fletcher	Tim Fischer,Edwin Feulner,Eric Holder,Heinz Fischer,Erwin Huber,Arlene Foster,Mario Blejer,Eric Cantor,Anke Fuchs,David Vitter,Rick Boucher,Ernesto Samper,Bruce George,Marie Bashir,Danny Pieters,Eiki Nestor,Jon Tester,Arne Duncan,Yoani Sánchez,Eritrea,Bram Peper,Michel Mercier,David Dreier,José Alencar,Eliot Spitzer,Manfred Kanther,Penny Pritzker,Ernest Moniz,Charlie Baker,Peter Welch,Julie Bishop,Jim Prentice,Jim Risch,Frank Jensen,Sonny Perdue,Éric Besson,Eric Garcetti,Vince Cable,Yves Cochet,Tom Steyer,Ken Starr,Dean Heller,Bill Ritter,Werner Hoyer,Marcus Stephen,Earl Blumenauer,Lamar Alexander,Jerry Weller,Alain Berset,Ernie Fletcher
Péter Erdő	Péter Polt,Peter Welch,Peter Wittig,Kate Brown,Søren Gade,Peronism,Peter Hintze,Netherlands,Cape Verde,Henrik,Andrew Card,Paul Otto,Meretz,Josef Pröll,Josef Lux,Peter DeFazio,Abu Darda,Paul Ryan,Milan Uhde,Mike Crapo,Per Unckel,Kevin Brady,Nigel Evans,Lazard,Ted Poe,Kevin Rudd,Ben Cardin,Satsuki Eda,Peter Cosgrove,Luis Cruz,Chet Edwards,Marek Jurek,Puerto Rico,Patty Murray,Pavel Tigrid,Rumen Radev,Paul Biya,Madeira,Tatars,Port Said,Kit Bond,Burundi,Gábor Vona,Péter Szijjártó,PepsiCo,Eritrea,Fine Gael,Paweł Kukiz,Aamir Khan,Péter Erdő
Vilnius University	Peking University,Rutgers University,Charles University,McGill University,Waseda University,York University,Harvard University,Finns Party,Valdis Birkavs,Alain Berset,Julius Nyerere,Seoul National University,Albio Sires,Els Borst,Tanya Plibersek,Alice Rivlin,Giannis Ragousis,Irene Pivetti,François Zimeray,Fleur Pellerin,Moscow State University,Yerevan State University,John F. Tierney,Mauno Koivisto,Andrus Ansip,Spanish Navy,Eli Suissa,Eiki Nestor,Spanish Army,Andris Piebalgs,Ian Paisley,Andreas Loverdos,Jānis Jurkāns,Milan Uhde,Siiri Oviir,Bill Gates,Vlad Filat,Valdis Dombrovskis,David Emerson,Dale Bumpers,William Cohen,Daniel Scioli,Eliot Engel,Simon Coveney,Vince Cable,Raúl Rivero,Dick Marty,Victor Ciorbea,Danny Pieters,Vilnius University
Jerry Brown	Jerry Moran,Jerry Lewis,Kate Brown,Jerry Weller,Gerrit Braks,Kevin Brady,José Bono,Tony Blair,Terry Branstad,Cory Booker,Leire Pajín,Sherry Rehman,Jan Pronk,Sierra Leone,Jelko Kacin,Hervé Morin,Yuriy Ilyin,Meir Dagan,Al Green,Dan Burton,Le Point,Lionel Bowen,Nancy Pelosi,Gary Locke,Jack Lew,Ted Poe,Pierre Werner,Jay Carney,Herbert Bösch,Barney Frank,Jim Molan,Dan Boren,Joe Crowley,Ben Cardin,Lars Barfoed,Kit Bond,Jim Saxton,Pedro Carmona,Josef Pröll,Kenji Goto,Mark Pryor,Marat Tajin,Taro Kono,Brian Cowen,Joyce Quin,John Brumby,Éric Besson,Mary Fallin,Napoleon,Jerry Brown
Nigel Evans	Miguel Arraes,Bill Young,Bill Gates,Mike Crapo,Paul Ryan,Noel Davern,Willy Claes,Fine Gael,Dagestan,Lionel Bowen,Iceland,Chet Edwards,Jim Molan,Anson Chan,Ken Starr,Alfred Sant,John Tsang,Kit Bond,Péter Erdő,Amy Adams,Le Point,Michael Flynn,Rein Lang,Mircea Geoană,Anke Fuchs,Barney Frank,Moshe Arens,Angelo Scola,Dipu Moni,Nabil Elaraby,Yves Guéna,Helen Clark,Arsen Avakov,Søren Gade,Milan Kučan,Manuel Valls,Yahya Khan,Ninja,Aamir Khan,Siiri Oviir,Piet Bukman,Åland,Pope Francis,Ze'ev Elkin,L. K. Advani,Fidel Castro,Napoleon,Ed Balls,Josef Lux,Nigel Evans
Kristiina Ojuland	Kristina Keneally,Kristina Schröder,Cristina Garmendia,Christina Romer,Christine Albanel,François Goulard,Patricia Scotland,Kit Bond,Christian Estrosi,Milan Kučan,Kirsten Gillibrand,Kevin Rudd,Javier Solana,Alastair Goodlad,Justin Trudeau,Hassan Rouhani,Burkina Faso,Rein Lang,Melissa Bean,Susan Collins,Doris Leuthard,Neritan Ceka,Violeta Bulc,Anson Chan,Bibiana Aído,Marisa Matias,Irina Yarovaya,Taslima Nasrin,Yukiya Amano,Arne Duncan,Mircea Geoană,Martin Bursík,Rosa Aguilar,Aosta Valley,Kevin Brady,René Teulade,Kiran Desai,Mathias Cormann,Prem Tinsulanonda,Sebastian Kurz,Éric Raoult,Pietro Lunardi,Erwin Huber,Tzipi Livni,South Sudan,Patrick Ollier,Donna Shalala,Chris Huhne,Chris Grayling,Kristiina Ojuland
Alfonso Lopez Michelsen	José López Portillo,Alfonso Guerra,Brian Mikkelsen,Anne McLellan,Anders Samuelsen,Alfredo Barnechea,Alfredo Pérez Rubalcaba,José María Michavila,Bruno Le Maire,Marko Mihkelson,Alain Madelin,Rob Nicholson,Nikolai Levichev,Allan H. Meltzer,Anders Fogh Rasmussen,Allyson Schwartz,Albio Sires,Hans Hillen,Connie Morella,Leszek Miller,Poul Nielson,Marine Le Pen,Anke Fuchs,Alain Berset,Uffe Ellemann-Jensen,Alice Rivlin,Lars Løkke Rasmussen,Anson Chan,Alexander Medvedev,Front for Victory,Associated Press,António Guterres,José Montilla,Marco Maciel,Moshe Arens,Antonio Inoki,Adolfo Aguilar Zínser,Jens Weidmann,Luiz Gushiken,Antônio Carlos Magalhães,Arnold Koller,Alberto Fernández,Alina Fernández,Anne Hidalgo,Alberto João Jardim,Juan José Lucas,Odilo Scherer,Robert Lepikson,John Boehner,Alfonso López Michelsen
Ioannis Varvitsiotis	Giannis Ragousis,François Patriat,Demetris Christofias,Sotirios Hatzigakis,Kostas Karamanlis,Ignazio Cassis,Irene Pivetti,Longin Pastusiak,Marju Lauristin,Marisa Matias,David Vitter,Gianni Letta,Eric Garcetti,James Arbuthnot,Dianne Feinstein,Daniel Toribio,Ian Paisley,Mario Barletta,Vilnius University,Sanna Marin,Isabel Carrasco,Finns Party,Panagiotis Beglitis,Vangelis Meimarakis,Giorgos Kaminis,Alexis Tsipras,Pavlos Geroulanos,Antonis Samaras,Kostas Skandalidis,Sofia Voultepsi,Valdis Dombrovskis,Valdis Birkavs,Ivan Safronov,Ron DeSantis,Jānis Jurkāns,John Sarbanes,Boyko Borisov,Marie Bashir,Ayaan Hirsi Ali,Franz Vranitzky,Joris Voorhoeve,Danny Pieters,Vladimir Voronin,Adán Martín Menis,François Loos,Ivan Kyrylenko,John Dawkins,Daniel Scioli,Mogens Lykketoft,Ioannis Varvitsiotis
Darrell Issa	Paul Biya,Harald Kujat,Maher al-Assad,David Ige,Quamrul Hassan,Gabriel Oprea,Marcelo Ebrard,Morris Iemma,Dagestan,Mart Laar,Jürgen Ligi,Satsuki Eda,Paul Ryan,Mark Kirk,Marie Bashir,Dean Heller,Charles Pasqua,Dave Weldon,Alfred Sant,Taro Kono,Tariq Aziz,Khaleda Zia,Hafez al-Assad,Kaushik Basu,Marek Jurek,Manuel Valls,Ed Balls,David Libai,Jerry Moran,Andrew Card,Narcís Serra,Jaume Matas,Gerald Klug,Søren Gade,Laurenz Meyer,Norbert Blüm,Daniel Scioli,Angelo Scola,Dobrica Ćosić,Gerrit Zalm,Herbert Bösch,Harrison Ford,Jørgen Kosmo,Jorge Illueca,Eli Suissa,Mauritius,Neritan Ceka,Barney Frank,Kiran Desai,Darrell Issa
Omar Torrijos Herrera	Narcís Serra,Morris Iemma,Harri Holkeri,Carlos Menem,Carlos Tevez,Tarcisio Bertone,Omar Bongo,Mario Barletta,Mario Blejer,Gabriel Oprea,François Zimeray,Toivo Asmer,Patrick Hillery,Pierre Werner,Marion Barry,Harrison Ford,Carlos Rodado Noriega,Marco Aurélio Garcia,Marcelo Ebrard,Pedro Aguirre Cerda,Alfonso Guerra,Jerónimo Saavedra,María Jesús Montero,Carlos Santana,José Ramos-Horta,Claudio Huepe,Alain Berset,Victor Ciorbea,Odilo Scherer,Patrick Ollier,François Patriat,Pier Luigi Bersani,Jean-François Hory,Chris Huhne,Vittorio Grilli,Tom Carper,Modibo Keïta,Werner Hoyer,Margaritis Schinas,Jerry Weller,Erwin Huber,Julius Nyerere,Dean Heller,Raymond Barre,Eric Holder,Doris Leuthard,Carol Moseley Braun,Norbert Hofer,Chaim Herzog,Omar Torrijos
Akhmad Abdulkhamidovich Kadyrov	Ali Abdullah Saleh,Sergey Mikhaylovich Ignatyev,Vladimir Georgiyevich Titov,Ramzan Kadyrov,Omar Abdel-Rahman,Hamad bin Khalifa Al Thani,Alu Alkhanov,Aslan Maskhadov,Mohammad Hamid Ansari,Almazbek Atambayev,Akhmedjan Essimov,Amanullah Khan,Oscar Luigi Scalfaro,Abdus Samad Azad,Alexander Dzasokhov,Vladimir Yegorov,George Radanovich,Umar Dzhabrailov,Emilio Eduardo Massera,Lamar Alexander,Abdullah II of Jordan,Vladimir Anatolyevich Yakovlev,Thad Cochran,Zviad Gamsakhurdia,María Corina Machado,Osama bin Laden,César Camacho Quiroz,Royal Australian Air Force,Nikolai Levichev,Ali Abbasov,Mikhail Margelov,Ahmed Galal,Alexander Lentsov,Nursultan Nazarbayev,Mikheil Saakashvili,Arsen Avakov,Andreas Loverdos,Mikhail Gorbachev,David L. Aaron,Alexander Medvedev,Andriy Sadovyi,Valentin Pavlov,Mohammad-Ali Rajai,John Abizaid,Adilgerei Magomedtagirov,Alexander Tikhonov,Kakha Kaladze,Guido Carli,Irina Yarovaya,Akhmad Kadyrov
Thierry Mariani	Jerry Moran,Sherry Rehman,Tzipi Livni,Theresa May,Hervé Morin,Jerry Brown,Pierre Werner,Javier Solana,Pedro Carmona,Sanna Marin,Sheikh Hasina,Jerry Lewis,Terry Branstad,Indrek Tarand,Sierra Leone,Denny Tamaki,Terry McAuliffe,Meir Dagan,Jane Harman,United Nations,The Bahamas,Ahmed Galal,Gladys Marín,Libération,Paul Martin,Dick Marty,Guido Carli,Werner Faymann,Marco Maciel,Dick Spring,Pietro Lunardi,Chris Murphy,Rick Larsen,Leire Pajín,Angela Merkel,Tony Blair,Vladimir Markin,Joseph Stalin,Barney Frank,Ben Cardin,Quamrul Hassan,Marat Tajin,Tommy Lapid,Patty Murray,Chelsea Manning,Lamberto Dini,Jim Molan,Jelko Kacin,Dmitry Livanov,Thierry Mariani
Oleksandr Kuzmuk	Aleksandar Vulin,Alexandr Vondra,Aleksander Szczygło,Alexander Stubb,Alexander Ankvab,Gerald Klug,Alexandru Moșanu,Edelgard Bulmahn,Alexander Lentsov,Alexander Dzasokhov,Fernando Flores,Roland Koch,Leonid Gozman,Allan Rock,Jan Kohout,Vladimir Kozhin,Harald Kujat,Milan Kučan,Rand Paul,Ole von Beust,Olene Walker,Eliane Karp,Reinhard Klimmt,Henk Kamp,Elon Musk,Oleksandr Lavrynovych,Henrik,Iceland,Valentin Inzko,Martin Bursík,F. W. de Klerk,Marek Jurek,Yevgeny Primakov,Vlad Filat,Fernando Lorenzo,Steven Chu,Raymond Kelly,Lothar Bisky,Mark Kirk,Claudio Huepe,Werner Faymann,Duncan Kerr,Jean Schmidt,Alfonso Guerra,Igor Klimov,Dan Burton,Sebastian Kurz,Jean Spautz,Oleg Lobov,Oleksandr Kuzmuk
Alfonso Guerra González	Alfonso López Michelsen,Alberto Fernández,Alina Fernández,Aloízio Mercadante,António Guterres,Alfredo Barnechea,Aldo Giordano,Alastair Goodlad,Don Manzullo,Arnold Koller,José María Gil-Robles,Gonzalo Aguirre Ramírez,Adolfo Aguilar Zínser,Glenn Greenwald,Andrew Lansley,Antonio Brancaccio,Tarcisio Bertone,Alain Berset,Paolo Gentiloni,Inner Mongolia,Bjørn Tore Godal,Aosta Valley,Sierra Leone,Amnesty International,Aleksander Szczygło,José López Portillo,Luis Gutiérrez,Claudio Huepe,Juan Alfonso Fuentes Soria,Carlos Andrés Pérez,Luis Posada Carriles,Juan Almeida Bosque,Adolfo Rodríguez Saá,José Vicente Rangel,Javier Hernández,Hugo Banzer,Antonio Inoki,Ali Abdullah Saleh,José Montilla,Susana Martinez,Alfred Sant,Roberta Pinotti,Howard Coble,Evo Morales,Albio Sires,Anson Chan,Lionel Bowen,Anders Samuelsen,Alberto Fujimori,Alfonso Guerra
United Arab Emirates	United Nations,United Russia,Saudi Arabia,Miguel Arraes,The Bahamas,Arab League,Sierra Leone,Mintimer Shaimiev,Angela Merkel,Peter Hintze,Ukraine,Central America,French Armed Forces,Lithuania,Peter Phillips,Adrian Smith,Nigel Evans,Redha Malek,Pierre Werner,Pedro Solbes,Artur Rasizade,Andris Piebalgs,TotalEnergies,Steve Bracks,Louise Arbour,Péter Erdő,Bill Gates,Indrek Tarand,Steve Daines,Eni Faleomavaega,Dieter Althaus,Fareed Zakaria,Khaleda Zia,Secretary of state,Pope Francis,Dmitry Livanov,Pieter Winsemius,Mitch Landrieu,Peter Wittig,Nikitas Kaklamanis,Robert E. Cramer,Antonis Samaras,Gerrit Braks,James Arbuthnot,Inner Mongolia,Hillary Clinton,Fidel Castro,Süleyman Demirel,Laurent Fabius,United Arab Emirates
Filippo Mancuso	Nicolás Maduro,Giuliano Amato,Fulvio Rossi,Don Manzullo,Marco Maciel,Francis Maude,Pope Francis,Paulo Maluf,Makiko Tanaka,Marisa Matias,Jelko Kacin,Vitaliy Masol,Bill Gates,Elon Musk,Dipu Moni,Ignazio Cassis,Pio Laghi,Guido Carli,Giuseppe Pisanu,Pietro Lunardi,Beppe Grillo,Celso Lafer,Antanas Mockus,Joseph Muscat,Rodrigo Rato,Bibiana Aído,Michel Mercier,Hugo Banzer,Juan Lozano,Albio Sires,Jaume Matas,Milan Kučan,Éric Raoult,Alain Madelin,Willy Claes,Elena Salgado,Taro Kono,Luis Fortuño,Solomon Passy,Richard Branson,Mikhail Margelov,Uzi Landau,Yukiya Amano,Giannis Ragousis,Dick Marty,Devin Nunes,Richard Dannatt,Monika Harms,Ole von Beust,Filippo Mancuso
Raymond Barre	Raymond Kelly,Marion Barry,Rand Paul,Bernd Lange,Jay Carney,Dan Boren,Ehud Barak,Rumen Radev,Hamid Karzai,Sanna Marin,Jyoti Basu,Richard Caborn,Gwen Moore,Solomon Passy,Bruno Le Maire,Gaston Flosse,Tony Blair,David Ige,Alain Berset,Jaume Matas,Hugo Banzer,Roland Koch,Babacar Gaye,Guido Carli,Paulo Maluf,Mark Warner,Rick Larsen,John Warner,Mario Blejer,Ahmed Galal,Salman Khan,Lars Barfoed,Robin Hayes,Ed Balls,Hugo Swire,Dan Burton,Rein Lang,Søren Gade,Scott Garrett,Tom Carper,Mart Laar,Narcís Serra,Marco Maciel,Mario Barletta,Ken Starr,Hans Blix,Ron Wyden,Duncan Kerr,Edmund Szoka,Raymond Barre
Robert Lepikson	Robert Zoellick,Robert Mugabe,Vincent Peillon,Pete Peterson,Johnny Isakson,Rob Nicholson,Roberta Pinotti,Gerd Leers,Jerry Lewis,Monica Lewinsky,Robert E. Cramer,Norbert Lammert,Norbert Röttgen,Mike Simpson,Éric Besson,Poul Nielson,Tommy Lapid,Rick Larsen,Richard Branson,Boyko Borisov,Göran Persson,Robin Hayes,Herbert Kickl,Hage Geingob,Peter DeFazio,Norbert Hofer,Piet Bukman,Joe Lieberman,Bendt Bendtsen,Norbert Blüm,Rob Andrews,Dave Weldon,Oliver Letwin,Robin Cook,Fred Thompson,Puerto Rico,Herbert Bösch,Richard Nixon,Libération,Yair Lapid,Umberto Bossi,Port Said,Alberto Fujimori,Robert J. Bentley,Sierra Leone,Novartis,Boris Nemtsov,Roman Herzog,Yury Luzhkov,Robert Lepikson
Lodewijk Asscher	Heinz Fischer,Tim Fischer,Toivo Asmer,Rick Boucher,Joseph Prueher,Ludwik Dorn,Edwin Feulner,Yoani Sánchez,Leszek Miller,Louise Arbour,Jim Risch,Odilo Scherer,Zbigniew Messner,Yves Cochet,Patrick Mayhew,Joseph Muscat,Patrick Ollier,Jochen Borchert,Rebiya Kadeer,Jon Tester,Erwin Huber,Arlene Foster,Lucien Bouchard,Marie Bashir,Pavel Grachev,Ilse Aigner,Ernie Fletcher,Moza bint Nasser,Keizō Obuchi,Lee Kun-hee,Kevin Spacey,Jean Asselborn,Karel De Gucht,Tom Steyer,Norbert Hofer,Mario Blejer,Celso Lafer,Doris Leuthard,Wolfgang Bötsch,Josef Pühringer,David Vitter,Wolfgang Ischinger,Marek Jurek,John Linder,John Boehner,Werner Hoyer,Luiz Gushiken,Per Unckel,Andrew Lansley,Lodewijk Asscher
Mark Dayton	Jack Layton,Mark Pryor,Mark Warner,Mark Rutte,Mary Fallin,Mark Kirk,Mark Binskin,Paul Martin,Dan Burton,Jim Saxton,Marat Tajin,Mart Laar,Meir Dagan,Rick Larsen,Paul Ryan,Dave Weldon,Dick Marty,Dan Tichon,Marek Jurek,Paul Simon,Eric Cantor,Taro Kono,Marco Maciel,Marie Bashir,Noel Davern,Jane Harman,Paul Otto,Tanja Fajon,Lars Barfoed,Jack Markell,Bob Taft,Dan Boren,Mike Simpson,Rick Scott,Bill Gates,Arne Duncan,Eiki Nestor,Mike Crapo,Jim Doyle,Sam Johnson,Frank Jensen,Rand Paul,Carlos Santana,Gary Locke,Greg Walden,Jack Lew,Jay Carney,Abu Darda,Marion Barry,Mark Dayton
Luis Fortuño	Luis Cruz,Lesotho,Juan Lozano,James Florio,Anna Fotyga,Hu Jintao,Lars Barfoed,Els Borst,Ludwik Dorn,Louise Arbour,Kirk Fordice,Lucy Turnbull,Luis Gutiérrez,Omar Torrijos,Tim Holden,Daniel Toribio,José Bono,Evo Morales,Omar Bongo,Don Young,Tim Fischer,Aldo Giordano,Jim Saxton,Mike Crapo,Emma Bonino,Taro Kono,Guido Carli,Lê Duẩn,Chris Murphy,Dick Marty,Luiz Gushiken,Éric Raoult,Jim Molan,Al Gore,Yves Cochet,Jim Doyle,Kenji Goto,Eric Holder,Bill Young,Paul Martin,Jan Kohout,Dan Boren,Kit Bond,Russ Feingold,Bill Shorten,Dan Burton,Cisco,Wim Kok,Jānis Jurkāns,Luis Fortuño
Baltasar Garzón	Babacar Gaye,Gladys Marín,Sanna Marin,Walter Kasper,Greta Garbo,Bulgaria,Lothar Bisky,Al Green,Vladimir Markin,Roman Herzog,Salman Khan,Ben Cardin,Paul Martin,Mathias Cormann,David L. Aaron,Walter Momper,Pascal Canfin,Marat Tajin,Bill Gates,César Gaviria,Mart Laar,Melissa Bean,Kate Brown,Eliane Karp,Madagascar,Cantabria,Marisa Matias,Taslima Nasrin,Petar Gračanin,Tanja Fajon,Theresa May,Giancarlo Galan,Mel Carnahan,Barbara Prammer,Hamid Karzai,Jane Harman,Burkina Faso,Pakistan,Lawrence Cannon,Richard Danzig,Valentin Inzko,Santiago Creel,William Cohen,Péter Erdő,Raymond Barre,Peter Hintze,Scott Garrett,Laurent Fabius,Lars Barfoed,Baltasar Garzón
Meir Sheetrit	Meretz,Meir Dagan,Mário Soares,Gerd Leers,Holy See,Yair Lapid,Jean Schmidt,Tom Steyer,Jean Spautz,Ken Starr,Peter Hintze,Mario Blejer,Oliver Letwin,Jerry Lewis,Jim Prentice,Rick Scott,Leon Panetta,Boris Nemtsov,Kiran Desai,Peter Wittig,Jean Charest,General Electric,Peter DeFazio,Eric Garcetti,Odilo Scherer,Hervé Morin,Irene Pivetti,Jim Saxton,Ehud Olmert,George Shultz,Bill Shorten,Fleur Pellerin,Luis Echeverría,Madrid,Mauritania,Greece,Lithuania,Argentina,Cape Verde,Montenegro,Henrik,Port Said,Vietnam,Uri Rosenthal,Eli Suissa,Le Point,Rein Lang,Tzipi Livni,Eiki Nestor,Meir Sheetrit
Joseph Stalin	Joseph Stiglitz,Joseph Estrada,Joseph Muscat,Joseph Prueher,Josef Pröll,Josep Piqué,Forza Italia,Josef Lux,Ken Starr,José Montilla,Joseph Ki-Zerbo,Jean Spautz,South Sudan,Yash Ghai,Jelko Kacin,Joyce Quin,Port Said,Joe Crowley,Todd Akin,Tommy Lapid,Arsen Avakov,Johnny Isakson,John Dawkins,Lionel Jospin,Pope Francis,Ben Cardin,Josef Pühringer,José Bono,Tom Udall,John Tsang,Frank Swaelen,Mary Fallin,Tom Steyer,Angelo Scola,José Mujica,Noel Davern,Jim Molan,John Abizaid,Jim Saxton,Susan Collins,Janez Stanovnik,James Florio,Anson Chan,Jean Schmidt,Greg Walden,Carlos Slim,Ahmed Galal,Jane Harman,Pascal Canfin,Joseph Stalin
Walter Momper	Walter Kasper,Werner Hoyer,Dale Bumpers,Wilhelm Molterer,Péter Polt,Norbert Hofer,Laurenz Meyer,Gabi Zimmer,Leszek Miller,Arlene Foster,Ilse Aigner,Gwen Moore,Steny Hoyer,Bram Peper,Arnold Koller,Hartmut Bagger,Werner Faymann,Willy Claes,Peter Wittig,Barbara Prammer,Marek Jurek,Javier Solana,Ernesto Samper,Per Unckel,Péter Erdő,Victor Ponta,Bill Ritter,David Vitter,Tom Carper,Celso Lafer,Lionel Jospin,Eric Holder,Peter Welch,Marco Maciel,Gaston Flosse,Marie Bashir,Dan Boren,Yves Cochet,Michel Mercier,Jaume Matas,Toivo Asmer,Kate Brown,Al Gore,Mark Warner,Mario Blejer,Ratko Mladić,Mart Laar,Victor Ciorbea,William Cohen,Walter Momper
Earl Blumenauer	Mario Blejer,Richard Blumenthal,Mark Warner,Dale Bumpers,Carlos Menem,Edwin Feulner,David Blunkett,Hugo Banzer,John Boehner,Hartmut Bagger,Pascale Bruderer,Lars Barfoed,Dan Boren,Mark Binskin,Lamar Alexander,Rick Boucher,Ernie Fletcher,Vern Buchanan,Gabi Zimmer,Mark Rutte,Ehud Olmert,Cory Booker,Karen Ellemann,Paul Reeves,Jair Bolsonaro,Paul Biya,Charlie Baker,Pat Buchanan,Mary McAleese,Mart Laar,Paul Simon,Oleg Belaventsev,José Alencar,Carlos Tevez,Carla Del Ponte,John Kufuor,Arnold Koller,John Brumby,Josh Frydenberg,Tom Steyer,David Dreier,Rush Limbaugh,Odilo Scherer,Karl Schlögl,Eliot Engel,Manfred Kanther,John Linder,Hans Blix,Gary Locke,Earl Blumenauer
Andrew Robathan	Andrew Card,Andrew Powell,Andrew Lansley,Indrek Tarand,Steve Rothman,Andreas Loverdos,Anson Chan,Andris Piebalgs,Anne McLellan,Uri Rosenthal,András Bozóki,Phil Robertson,Adrian Smith,George Habash,Greg Abbott,Arne Duncan,Norm Coleman,Greg Walden,Edi Rama,Jerry Moran,Alfred Sant,Abdalá Bucaram,Ahmed Galal,Rodrigo Rato,Wangari Maathai,Anne Hidalgo,Manfred Kanther,Jaume Matas,Sherry Rehman,Anna Fotyga,Alice Rivlin,Mel Carnahan,Andriy Sadovyi,Leire Pajín,Alexei Mordashov,Anke Fuchs,Anwar Sadat,Ashraf Ghani,Andrej Plenković,Tigran Torosyan,Sadako Ogata,Jane Harman,Andranik Margaryan,Aamir Khan,Meir Dagan,Hassan Rouhani,United Nations,Andrus Ansip,United Russia,Andrew Robathan
Chechnya	Estonia,Romania,Vietnam,Iceland,Guyana,Sardinia,Benin,Sicily,Libya,Catalonia,Ukraine,Russia,Sony,Boeing,Chuvashia,Cisco,Bulgaria,Ninja,Iran,Lithuania,Slovakia,Greece,Spain,Argentina,Taiwan,Belgium,The Bahamas,Latvia,Burundi,Buryatia,Senegal,France,Madeira,Brunei,Tuva,Gabon,Meretz,Nokia,Nokia,Eritrea,Lesotho,Henrik,Cantabria,Peronism,Comoros,French Navy,Shas,Pakistan,Israel,Chechnya
Bob Taft	Bob Dole,Bob Graham,Boeing,Tom Udall,John Tsang,Edi Rama,Libya,Jon Tester,Nokia,Nokia,Port Said,Al Gore,John Key,Bill Gates,Ted Poe,Robin Hayes,Todd Akin,Tom Carper,Brunei,Suriname,Ken Starr,Kit Bond,Robin Cook,Guam,Rand Paul,Google,Dick Marty,Burundi,Ed Balls,Morocco,Don Young,Gibraltar,Senegal,Benin,Ben Cardin,Idi Amin,Fine Gael,Jim Saxton,Abu Darda,Sony,Le Point,Palau,José Bono,Lazard,Gabon,Tatars,Ron Wyden,Lionsgate,Rein Lang,Bob Taft
Giuseppe Pisanu	Giuseppe Bertello,Josep Piqué,Turkmenistan,Beppe Grillo,Joseph Muscat,Mircea Geoană,Nigel Evans,Leire Pajín,Jesús Posada,Giuliano Amato,Tzipi Livni,Joseph Stalin,Javier Solana,Liese Prokop,Kaushik Basu,Julie Bishop,Fidel Castro,Guyana,Agustín Rossi,Russia,Pierre Werner,Alfred Sant,Josef Pröll,Le Point,Lamberto Dini,Filippo Mancuso,Anson Chan,Rein Lang,Joseph Estrada,Juan Lozano,Lionel Bowen,Irene Pivetti,Jerry Moran,Mike Simpson,George Habash,Dick Spring,Joseph Prueher,Stephen Solarz,Jaume Matas,Paul Biya,Puerto Rico,Paul Ryan,Pete Peterson,Giancarlo Galan,Laurent Fabius,Lothar Bisky,Mike Crapo,Vincent Peillon,Milan Kučan,Giuseppe Pisanu
Paul Tsongas	Paul Biya,Paul Ryan,Paul Simon,Paul Reeves,John Tsang,Paul Martin,Pablo Escobar,Shaul Mofaz,Paul Otto,Zhu Rongji,Omar Bongo,Jaume Matas,Jan Pronk,Taro Kono,Paulo Maluf,Pavel Tigrid,Pál Vastagh,Poul Nielson,Bill Young,Pope Francis,Hage Geingob,Palau,Hu Jintao,Catalonia,Dale Bumpers,Pedro Solbes,Alexis Tsipras,Gábor Vona,Jan Kohout,Emma Bonino,Mark Warner,Kaushik Basu,Pavel Astakhov,Nigel Evans,Yash Ghai,Pavel Grachev,Madagascar,Kit Bond,Don Young,Sam Brownback,Yves Guéna,Gabon,Pio Laghi,Uzi Landau,Manuel Valls,Mart Laar,Al Gore,José Bono,Bill Gates,Paul Tsongas
Ryerson University	Rutgers University,York University,Peking University,Charles University,Waseda University,Vilnius University,McGill University,Harvard University,Reuven Rivlin,Ole von Beust,Yerevan State University,Seoul National University,Peronism,Per Unckel,Celso Lafer,Raúl Rivero,Iberian Peninsula,Rob Andrews,Jean Charest,Allyson Schwartz,Alain Berset,Gerd Leers,Simon Coveney,Göran Persson,Marion Barry,Rudolf Seiters,Irene Pivetti,Moscow State University,Leon Panetta,Central European University,Mauno Koivisto,Bank of America,Rosen Plevneliev,Puerto Rico,Dean Heller,Martin Bursík,Ben Cardin,Keiko Fujimori,Albio Sires,Jason Chaffetz,Finns Party,Fleur Pellerin,Adrian Smith,Tanya Plibersek,Els Borst,Solomon Passy,Moderate Party,Robert Zoellick,Ian Paisley,Toronto Metropolitan University
